,uid,mat,createtime,voteUp,content
17,794782885,0,1565709251000,1,回忆吧
17,1209270853,0,1565711283000,0,徐宾没真死
17,1126920847,0,1566034782000,0,徐宾没真死
17,846050558,0,1566036550000,0,徐宾没真死
17,757347491,0,1565719126000,0,没有
17,727247153,0,1566017149000,0,徐宾没真死
17,1302969140,0,1565770941000,0,徐宾没真死
17,399152670,0,1565966055000,1,老板出场
17,1054135769,0,1565840369000,0,坐标南方发来贺电
17,1710666388,0,1565663205000,1,其实被掐的过程中装死不就行了
17,1751773023,0,1565588195000,0,不要徐斌死
17,1550929517,0,1565616082000,0,哦哟
17,1440766754,0,1565683637000,2,徐主事没死 我就放心了
17,1219571102,0,1565781493000,0,书里徐死了
17,405684022,0,1565695348000,0,怎么又活了？
17,1148580127,0,1565701074000,0,徐宾没真死
17,1152493978,0,1565747774000,0,徐宾怎么个情况
17,1072783952,0,1565871975000,0,这给口吃的实在太可爱了
17,1549498646,0,1566043220000,0,剧情还能再拖沓一点吗？真的是都没有耐心看下去
17,1027500960,0,1565675167000,0,hahah
17,535327510,0,1565622663000,1,抽烟的是王源吧？
17,1543953430,0,1565691483000,0,徐宾！！！！！！太好啦呜呜呜呜呜
17,977788900,0,1565709904000,1,那个闻染为什么让她活了这么多集好烦人啊
17,840314136,0,1565963141000,0,徐宾没真死
17,418211075,0,1565777899000,0,诶嘛，你要死了就不看了
17,580267151,0,1565761019000,0,张小敬：都说了徐宾是最终大boss 不可能死的。
17,1696788702,0,1565661463000,0,缓存恒久远，一剧永流传
17,1302016732,0,1565953185000,0,徐宾没真死
17,1148624338,0,1565801168000,1,累了困了 喝东鹏特饮
17,952607162,0,1565694601000,0,三女是澶琪？！！！
17,728376565,0,1565621987000,1,应该没死吧
17,1756630873,0,1565591027000,1,徐宾真死了吧
17,1454127248,0,1565851730000,1,2019年08月15日打卡~
17,1189965454,0,1566014694000,0,徐宾没真死
17,1030425832,0,1565757668000,2,刚刚装死？
17,1711864677,0,1565928833000,0,肯定没死
17,1243255654,0,1565713448000,0,徐宾没真死
17,1407175211,0,1565950439000,0,徐宾没真死
17,1036057218,0,1566097021000,0,徐宾没真死
17,1211527763,0,1565870943000,4,这后不是领盒饭了吗？怎么又出来了？
17,1755296213,0,1566033624000,0,死了，原书上死了
17,1429406458,0,1565584231000,1,徐宾没真死
17,1480781185,0,1566011467000,0,宾宾你没死
17,1759345938,0,1566037528000,0,徐宾没真死
17,1046789433,0,1565761809000,2,太好了没死
17,1735842636,0,1565748370000,1,我都料想到了徐宾没那么容易死
17,1247050044,0,1565706168000,0,徐宾真死了吧
17,1123392376,0,1565737395000,1,日本人
17,1044050922,0,1566052952000,0,徐宾没真死
17,1757299448,0,1566046024000,0,有点儿看明白了
17,322160925,0,1565874766000,1,徐宾没真死
