,uid,mat,createtime,voteUp,content
40,614277046,0,1566026969000,4,30集过后，千的演技实在包容不了了，没戏脸不舒服。
40,331764419,0,1566051367000,0,周末举手~
40,1221448852,0,1566133434000,0,潘雅宝贝快来看剧啦
40,1033975651,0,1565961081000,0,荒，荒荒，荒鸡？
40,1504455662,0,1566126050000,0,报时大叔好几集没见了，想他
40,341949478,0,1566057593000,0,好想吃啊
40,506570979,0,1566019104000,1,我去！吃这么精致
40,1301586547,0,1565981779000,1,看圣人奢靡的生活就气
40,1597636160,0,1566098710000,1,抹茶蛋糕？！！！！
40,1724282221,0,1565960646000,1,铜陵的举手!
40,1514985267,0,1566014427000,7,张小敬这一天没救多少人反倒杀了不少，因他而死的不少
40,1356142964,0,1565966915000,0,铁甲在不在！？？？
40,1158221132,0,1566010095000,2,看起来也不太豪华
40,1506507286,0,1566056298000,0,第八团没了，留张小敬一个去欣赏你的长安吧
40,948712260,0,1566026595000,0,看起来好好吃的样子
40,1342319319,0,1565993675000,0,最上面太极☯️的是提拉米苏吗？
40,1308273088,0,1565933484000,1,哇，那个时候就有抹茶蛋糕了吗
40,747405241,0,1566016278000,0,我想把作者和编辑daod
40,1092486166,0,1566027923000,0,这部戏就没掐死过谁
40,421435244,0,1566056601000,1,这个闻染终于死了，元评事什么时候死
40,1142655396,0,1566021413000,2,龙波：稳稳当当的
40,726899026,0,1566014248000,3,元载真小人，服气
40,1742662338,0,1566058584000,1,抹茶被日本学精了
40,1743313006,0,1565959219000,0,2019年08月16日签到~
40,1589710880,0,1566003257000,1,最关键时没用她的香呢？
40,1026428946,0,1566110565000,0,想不通这样的长安有什么值得守护的
40,1075183418,0,1566053441000,1,元载会的时间太长了
40,1429566415,0,1566034292000,1,最上面太极☯️的是提拉米苏吗？
40,1139180507,0,1566045787000,2,元载才是活的最明白的人
40,1142655396,0,1566021471000,1,龙波：得满心满意
40,1162300585,0,1566010297000,1,想李丽
40,1544815634,0,1566015916000,0,好像是抹茶味的
40,1199051771,0,1566007300000,0,万恶的长安
40,1039607832,0,1566128079000,0,自助餐
40,1356142964,0,1565968062000,0,秀才是老九门里那个坏副官！
40,714246502,0,1566003610000,1,太子是储君，不是官，说太子是百官表率这是硬伤。
40,1529988304,0,1566043037000,1,遍地都是元栽这样的小人，你我身边都有
40,1181364410,0,1566024808000,0,喝的啥啊
40,1253113120,0,1565878980000,2,赶紧把这帮狗都斩了吧！
40,504935151,0,1565900416000,0,元载王女都得死，不过没有死在这部剧里
40,1204817190,0,1565929824000,1,李必没有什么作用。
40,1607412437,0,1565921022000,0,元仔笑死了
40,1566240050,0,1566111351000,0,没有冗长的片头、前情提要，已经非常好了
40,1417329671,0,1565929386000,0,朱门酒肉臭，路有冻死骨。唉╯﹏╰
40,1253064079,0,1565540616000,4,王源老师演的小狐狸不错啊
40,1660418149,0,1566006991000,0,舌尖上的长安
40,1755426610,0,1565936680000,1,抹茶味蛋糕，我的最爱，那时代就有了？
40,1180955291,0,1566060663000,0,舌尖上的长安
40,1206735829,0,1566013552000,0,这才叫厉害，一日泡到富婆
40,1057739007,0,1566021575000,1,烂在根里了
40,1756359816,0,1566021563000,0,中南林业科技大学の留步
40,1042943635,0,1566120309000,0,张小敬死了会不会好点，龙波能成功
40,1030194505,0,1566106227000,0,报时大叔好几集没见了，想他
40,1708319118,0,1566024005000,2,张小敬：元载真是够了
40,1174107011,0,1565960180000,1,鱼子酱？
40,1585497023,0,1565968339000,0,元载演得太好了，我巴不得他暴毙
40,1526722187,0,1565913640000,0,俺是威爱批吗
40,805324574,0,1566103356000,0,朱门酒肉臭，路有冻死骨
40,1187609878,0,1566126649000,0,抹茶
40,949607217,0,1566119487000,0,该死的元载什么时候死，真想看他不得好死的样子
40,1584298573,0,1566036328000,1,太有食欲了
40,1308325134,0,1565958846000,0,抹茶卷？鱼子酱？
40,1380711630,0,1566091571000,0,老干妈又来了
40,1060499566,0,1566127569000,0,😜
40,1163342492,0,1565990321000,0,海参是你吗
40,1200900338,0,1565960126000,0,沈阳人支持闻染
40,720201254,0,1565931882000,0,希望龙波能成功
40,760877560,0,1566108958000,0,哎呦我去，抹茶，海参，鱼子酱。太好吃了
40,1304128413,0,1565876589000,2,圣人脸上美黑了吧
40,1142099425,0,1565879143000,0,王蕴秀和元载一个蠢一个奸，赶紧领盒饭！
40,1749698046,0,1565925593000,2,这部剧中最该死的就是闻然
40,1459103219,0,1566099259000,0,朱门酒肉臭，路有冻死骨
40,1079575260,0,1565946674000,0,玛德看见他就烦
40,1506507286,0,1566056167000,1,张小敬用亲人的血铺路
40,1316953407,0,1566104005000,0,朱门酒肉臭，路有冻死骨
