,uid,mat,createtime,voteUp,content
46,1038948568,0,1566100431000,1,管饭吗？
46,1721612005,0,1565836119000,3,张小敬从出场就是护长安的，黑他的都没脑子吧
46,1649141328,0,1565782234000,0,好生硬的人设和剧情
46,900317737,0,1565780401000,0,说明吃这个耽误事
46,1407686196,0,1565756398000,0,全剧两个最强高手
46,1341382247,0,1566050860000,0,人物设定被定死了，护长安，长安外来的都得死
46,383201418,0,1565975448000,0,张小敬代言的不买了
46,1038442272,0,1565999055000,0,啊啊啊啊啊啊啊啊
46,1742626995,0,1565794850000,0,张小敬是对的
46,837405916,0,1565868692000,0,彭冠英？？在哪里？？
46,1520359935,0,1565946437000,0,吉林前来围观
46,1724859416,0,1565929294000,0,一个为千万百姓，一个为几百兄弟，看你们偏哪边
46,1350456772,0,1566023394000,0,👻
46,1590620067,0,1565833772000,0,不用猜了，终极boss徐宾，大案牍术无敌。
46,1432930215,0,1565831654000,3,前面说对雷佳音粉转黑的站住，人物行为别上身偶像
46,1333430687,0,1565795004000,0,王韫秀我都不想说你了，元载都这样说了你还听他的话？
46,1333430687,0,1565795010000,0,王蕴秀个zz现在还听他的？以为他能保住你阿爷？？
46,1333430687,0,1565795475000,0,张小径杀自己兄弟从不手软 对永王手下留情 不是
46,1239423809,0,1565764650000,0,东鹏特饮广告真low，往人身上浇水
46,1311114077,0,1566002244000,1,老烦闻染这个角色
46,1215845798,0,1566031195000,0,怎么就打起来了
46,1148185767,0,1565963919000,0,旭日升冰茶
46,985351328,0,1566035689000,0,演的好无聊啊，不开倍速看不下去了
46,411593431,0,1565798706000,0,我爱张小敬
46,953351418,0,1566097260000,0,后面的剧情一言难尽……说好的智商在哪呢？
46,1601569205,0,1566010222000,0,张小敬替第八团保护他们的信仰长安，保护长安子民
46,1026366713,0,1566048388000,0,傻娘们儿
46,1442505754,0,1565803498000,2,圣人:当我不存在吗？
46,1341382247,0,1566050873000,0,人物设定被定死了，护长安，长安外来的都得死
46,1320846510,0,1565762456000,1,也有可能是敌国那个人给的信
46,1538069753,0,1565940938000,0,靖安司还有暗桩
46,1538069753,0,1565940859000,0,好难过
46,1738021504,0,1566023045000,1,张小敬后面这几集确实不讨喜
46,385268894,0,1565953873000,0,居然还活了？这心肺复苏做的好！
46,1436501068,0,1565863904000,0,张小敬是对的
46,504850334,0,1565748349000,3,2019年08月14日签到~
46,1047703408,0,1566037581000,0,你们俩搞快点
46,1745302492,0,1565775376000,0,心里有恨就可以肆意屠杀平民？
46,731001302,0,1565935676000,0,杀了张小敬杀了张小敬杀了张小敬杀了张小敬杀了张小敬
46,1254545485,0,1566043646000,0,杀了张小敬杀了张小敬杀了张小敬杀了张小敬杀了张小敬
46,361256753,0,1566126574000,0,檀棋：余小凤我想你了
46,322308787,0,1565953348000,0,一年了终于忘了元歌连招了
46,1152954790,0,1566018172000,0,大头是对的
46,1514425075,0,1565787526000,0,心里有恨就可以肆意屠杀平民？
46,1105054116,0,1566030356000,0,这剧选角也是个力气活
46,1668910848,0,1565774258000,0,给你缠缠馋安的特色小食
46,1718371198,0,1566130292000,0,张小敬一直心存善念
46,962189682,0,1565773271000,0,兄弟只打拳头架
46,1158221132,0,1566099397000,0,闹掰了
46,1728885760,0,1565789296000,1,圣人？？？？
46,1546830141,0,1565944377000,0,圣人一脸嫌弃，这打的啥呀，还没我打架厉害
46,956344015,0,1565944428000,0,杀了张小敬杀了张小敬杀了张小敬杀了张小敬杀了张小敬
46,1022172010,0,1566016459000,0,煎鸡蛋
46,1620192317,0,1565758933000,0,兄弟间的恩怨，空手打一架就好了。纵打，也有真情
46,1378073226,0,1566121744000,0,张小敬保护的是长安与长安百姓，萧规是为了第八团抓圣
46,1347621607,0,1565851367000,4,这期是争家产啊
46,1202512911,0,1566054980000,0,徐斌呢？
46,1039328155,0,1565884732000,0,这剧怎么烂成这个样子了靖安司漏成了筛子主角能力呢？
46,544699605,0,1566052282000,1,我好讨厌这俩演员
46,953351418,0,1566096895000,0,赵本三的女儿
46,1741845289,0,1566028633000,0,两个人为了不同的义，道不同罢了，
46,1333430687,0,1565794701000,0,那女的真是个讨厌的家伙
46,752992146,0,1565878652000,1,张小敬是对的
46,1732217063,0,1565796960000,0,圣人今夜若是死了，太子与右相争位，还不知要发生什么
46,1162801882,0,1565774956000,6,李必睡了醒 醒了睡 就这样过了好几集
46,1050662016,0,1566039183000,0,张小敬从出场就是护长安的，黑他的都没脑子吧
46,1668910848,0,1565774296000,0,给你缠缠馋安的特色小食
46,646662811,0,1565859675000,1,对于张来说，幕后布局，兄弟亲人长安皆为棋子，必须查
46,833480611,0,1566044658000,0,有张小敬这种兄弟真是造孽！！保持队形
46,782957240,0,1566137652000,0,张小敬替第八团保护他们的信仰长安，保护长安子民
46,1333430687,0,1565794810000,0,最应该杀的右相龙波为什么不杀？
46,1375749042,0,1565975117000,0,心肺复苏是1967年7月才有的 这圣人是穿越过来的
46,1303456799,0,1565957373000,1,这俩货还不死
46,1001398521,0,1565973839000,0,人不可能永远活在仇恨当中。
46,1538069753,0,1565940868000,0,都不要死才好
46,925261003,0,1565762955000,3,是兄弟就来砍我。。
46,1678322028,0,1565930864000,4,圣人：我就看着你俩打，我也不管
46,715045136,0,1565833197000,0,刺客信条bgm
46,801072740,0,1565909687000,2,圣人老头儿怎么不去捡武器
46,1723341849,0,1565855130000,0,666
46,341905551,0,1566024708000,0,杀了张小敬
46,1215371491,0,1565841432000,0,皇上已经明白怎么回事了
46,1018878233,0,1566011716000,0,对个屁
46,1054371647,0,1565784498000,0,龙波：这是我过命的兄弟，杀他。得加钱！
46,531277699,0,1566023248000,0,终于要完结了
46,326854478,0,1566124139000,0,萧规到底想做什么？不是同归于尽么？墨迹了一晚上
46,1146119936,0,1566138716000,0,普通人连张小敬都做不到。还说有这样的兄弟倒霉
46,1241321209,0,1566038518000,3,张小敬对自己兄弟从不手软👍
46,1337135712,0,1566021710000,1,杨莹我爱你❤️💓❤️💕❤️
46,1145295830,0,1566040711000,0,张小敬：我你吗
46,1239423809,0,1565764658000,0,东鹏特饮广告真low，往人身上浇水
46,1333430687,0,1565794878000,0,为什么要听元载的啊 看着来气
46,1492187049,0,1565781275000,1,事实证明龙波才是对的
46,1300822722,0,1566099669000,1,说武媚娘的   陈玄礼都出来了还有武媚娘吗
46,1001398521,0,1565973547000,2,你们只看到张小敬害死了多少人，为什么看不到他救了多
46,1176557698,0,1565756802000,0,拿头顶他
46,1753959156,0,1565794620000,0,程参牛人啊
46,1333430687,0,1565794883000,0,这个王云秀就是来衬托别人的美貌和智慧的
46,1166477826,0,1565883149000,0,会员真是白充了
46,830368968,0,1565964990000,1,小丫头不是武媚娘吧
46,1001398521,0,1565973687000,0,张小敬做的是正义的事，如果长安百姓也有你们家人呢。
46,1620192317,0,1565758918000,0,原来有这么多三观不正的人啊
46,1333430687,0,1565794154000,0,张小敬，坑死了身边所有的人。
46,1377959836,0,1566126992000,0,才46集还打不死
46,1385732490,0,1565875950000,1,一套衣服穿完一部戏，这个电视太省了，哈哈
46,1531468676,0,1565785688000,0,圣人在干啥呢
46,1570411241,0,1565754934000,0,皇上:内心毫无波动甚至有点想笑
46,1703277234,0,1566108758000,0,圣人好淡定啊
46,956344015,0,1565944424000,0,有张小敬这种兄弟真是造孽！！保持队形
46,1461258361,0,1565918495000,7,有张小敬这种兄弟真是造孽！！保持队形
46,1067768523,0,1566117759000,1,都看不懂嗎，龍波被人當槍使了，張小敬是在努力找出真相
46,1209285038,0,1565983684000,0,圣人好淡定
46,1428561273,0,1566125705000,0,一嘴毛哈哈哈
46,427905544,0,1566046936000,0,张小敬被长安奴化了
46,330905782,0,1566017237000,0,徐宾呢？三女呢？波斯王子呢？
46,1514425075,0,1565787529000,0,心里有恨就可以肆意屠杀平民？
46,1039328155,0,1565884682000,0,天呐，王云秀就不会良知未泯嘛
46,1606009740,0,1565947695000,0,元载都在陷害太子，王韫秀你是傻子吗
46,1001398521,0,1565973804000,1,张小敬不是背叛兄弟，他为了闻无忌杀了那么多人。
46,1018878233,0,1566011707000,1,现在张小敬在保护的又是什么
46,1034166767,0,1565920200000,0,有张小敬这种兄弟真是造孽！！保持队形
46,1070683142,0,1565766806000,0,圣人淡定
46,1254545485,0,1566043644000,0,张小敬后面这几集确实不讨喜
46,646662811,0,1565859689000,0,张小敬替第八团保护他们的信仰长安，保护长安子民
46,1037118416,0,1565969305000,0,又当又立的真多，这剧让你们看了真是掉价
46,1718833778,0,1566108530000,1,张小敬害死了所以兄弟
46,1039251225,0,1565888346000,0,元载死后我当了宰相。。。嘿嘿。。
