,uid,mat,createtime,voteUp,content
39,1339559556,0,1565855972000,2,神烦这两人，王韫秀永远都是一个表情
39,1432230663,0,1565844006000,3,墙头草
39,1440755967,0,1565874155000,0,你儿子都知道，我都不知道😖
39,1522400153,0,1566008833000,2,这段感人至深啊
39,369206360,0,1565611501000,2,张小敬：毛盼盼
39,1760282317,0,1565877689000,2,2019年08月15日举手~
39,1161926440,0,1566095140000,0,你说饿死鬼脱身变的
39,361256753,0,1566126505000,0,檀棋：余小凤我想你了
39,1310689642,0,1565874317000,0,色彩好好
39,341110390,0,1565723839000,1,啊啊啊啊啊啊
39,614839768,0,1565780177000,0,张小敬：天空好美
39,1759774271,0,1566019872000,1,丁老三演过萧规的父王
39,1689435223,0,1566138489000,0,启明星 恍惚套
39,1143744301,0,1565755395000,0,蟹笼效应，非要把剧拉到和你一个水平
39,848122959,0,1565799581000,0,辉叔
39,1519920269,0,1565781067000,2,萧规黑化的原因是一直在二楼接收不到闻队的精神感化
39,1185932004,0,1565932739000,2,终于死了，王云秀元载也快点死吧
39,1176018890,0,1565780998000,2,看着有点气人😡！
39,367996385,0,1565637368000,5,一切皆因烽燧堡
39,1001398521,0,1565666738000,5,就是回忆才好看，一直都是破案的话没有人物的介绍。
39,1505554347,0,1565970658000,0,长安长安
39,1387381439,0,1565701268000,4,李必和张小敬查案查了半天，贼全是自己人
39,1029583491,0,1566030540000,0,我永远都爱柔柔大宝贝
39,955825975,0,1566004518000,0,老闻一直在讲关于长安的一切让之憧憬变动力以坚持下去
39,1072180006,0,1565726701000,14,向人民子弟兵致敬！
39,1581440594,0,1565696107000,0,坐标北方前来围观
39,829774290,0,1565955354000,4,回忆，是为了把所有原来未说明的故事背景，都交代清楚。我就觉得很好👍
39,544699605,0,1565780996000,0,这我就很不开心了，闻染死了
39,1120219019,0,1566099263000,2,回忆大赞啊
39,953351418,0,1565656044000,0,是院校招生吗？
39,1201051473,0,1565682382000,0,这回忆你看过？这难道不是剧情？钢
39,843638272,0,1565764526000,1,这么好看的回忆，看不够啊
39,1237809912,0,1566053180000,0,闻染和檀棋都不错！就那个王毓秀🤮一脸坑包！皮肤却黑！
39,1741921153,0,1565907693000,2,剧情拖不是因为回忆，十二时辰里太拖了
39,1537511258,0,1565748670000,2,2019年08月14日打卡~
39,1562354729,0,1565939138000,0,2019年08月16日举手~
39,915994828,0,1565684477000,2,这么好看的回忆，看不够啊
39,1311850375,0,1566045686000,0,我到看你要我等到啥时候
39,1168179398,0,1565716243000,0,王祖蓝，我知道是你
39,477024075,0,1565767218000,0,这是
39,1411224214,0,1566094070000,0,说无聊的都是老娘们吧，我就想知道怎么活下来的
39,1005403835,0,1566122405000,0,还是忍不住充了会员，哈哈
39,1021069647,0,1565777201000,0,闻染可死了
39,1352257131,0,1565781804000,0,都是狗屁故事逗你玩
39,723420393,0,1565956937000,1,长安是信仰
39,1048814417,0,1565918772000,2,让我想起了冲锋号
39,1604912439,0,1565971672000,0,太沉重了
39,1534275491,0,1566040462000,0,两夫妻不是一类人不进一家门啊
39,781585691,0,1565885631000,0,说龙波对的人，不理性，遇事最容易被煽动
39,1109263264,0,1566052554000,0,战士可贵又怎样呢？回头家人被欺。
39,1432784892,0,1565615612000,5,许愿启明星
39,1220010920,0,1566002143000,2,姚汝能：两夫妻不是一类人不进一家门啊
39,715275995,0,1566040369000,0,24小时的事能拍40多集厉害
39,1737410475,0,1566042903000,0,金昌打卡
39,1682622500,0,1565670850000,0,这剧情我勒个去
39,1326352341,0,1565967868000,0,怎一个热血了得
39,1322929199,0,1565660875000,1,闻染绊脚石终于死了
39,1514375154,0,1566016392000,0,加上这三个才是九个，守军只活了六个
39,1034128397,0,1565616837000,0,一语成谶，丁老三全家都变成了饿死鬼。。。
39,1758323446,0,1565854857000,1,会员色
39,1047313216,0,1565707070000,0,崔器的兵吗
39,1001398521,0,1565666707000,0,回忆越来越好看
39,1185855686,0,1565886088000,0,666
39,718292653,0,1566117440000,0,啊啊啊
39,843638272,0,1565764556000,0,这回忆你看过？这难道不是剧情？钢
39,1034676853,0,1565620938000,1,不想看回忆的，不看就行了，谁逼你了？
39,1338652861,0,1565935761000,0,回忆太多，我记不住了
39,324206112,0,1565610566000,0,元载不是东西
39,1434097880,0,1565681568000,0,这有啥意思？？？
39,833020135,0,1565868287000,0,2019年08月15日签到~
39,1061837548,0,1565669078000,1,军令呢，他们是遇敌不是驻守，三千人还自愿守   ，这是有病
39,1735400603,0,1565929988000,0,生活里有太多这样的人，但更多像弹幕说不值发牢骚
39,1758790710,0,1565795976000,0,就是 不想看回忆跳过就行 我都跳好几集了
39,1077992518,0,1565955968000,1,居然有点希望萧规能成功
39,1563489656,0,1565758269000,0,这一幕哭了
39,1234808377,0,1565844750000,2,这两集都是回忆
39,367076518,0,1566020801000,3,突然觉得，大家守护一个闺女好幸福
39,1408691662,0,1566092798000,0,丁老三
39,1374035164,0,1565846730000,0,张小敬：为了追这部剧，不理智了，居然充钱
39,1201051473,0,1565682386000,0,有个人的声音真的好像崔器，好怀念那小子！！！
39,1189899946,0,1565954483000,0,终于可以了！
39,1697831371,0,1565967231000,1,漯河烹饪大学本科
39,1001398521,0,1565666757000,0,不回忆你怎么知道他们怎么守护的长安？
39,1199596724,0,1566015959000,0,又大又圆
39,1761706066,0,1565958629000,0,东哥看这个就想你
39,1432230663,0,1565845234000,1,别救了 这里不配
39,1127694159,0,1565882888000,0,四川的举手!
39,1048435181,0,1565840510000,0,死的太好饿了
39,1674180371,0,1565792657000,0,第八团的希望死了
39,1047313216,0,1565706832000,0,玩哪一出
39,935800749,0,1565875666000,1,徐小七
39,1541257333,0,1565952567000,0,回忆很好呀
39,1481057843,0,1565921890000,1,最后十集，加油…😊😊😊
39,1439030275,0,1565611107000,5,虽然知道元载是宰相，但是真想电视剧里惨死，也开心
39,1469343425,0,1566054268000,0,盐城打卡
39,1139148599,0,1565619778000,3,刀呢？怎么剩个柄?特效没加吧?
39,812372306,0,1565763795000,1,气气之息
39,1204371874,0,1565829937000,0,哎哟喂  王二娘的裹脚
39,1432230663,0,1565844160000,0,好话赖话都让你说了
39,1128671007,0,1565791667000,3,富贵使我们相遇
39,775832652,0,1565711358000,0,坐标南方打卡
39,1757831565,0,1565623488000,1,本溪的举手!
39,1040936079,0,1566027933000,1,回忆你吗
39,1079121940,0,1566067124000,0,人都要饿死了，还说守什么？
39,1376667330,0,1565913098000,1,这是抠像的绿布没撤下来吗
39,1042659990,0,1565773719000,0,益阳前来围观
39,985516482,0,1566096219000,0,<长安十二时辰>番外篇：舌尖上的峰遂堡
39,1037321591,0,1565920632000,2,老闻一直在讲长安的一切，人，事，物让
39,1209558941,0,1565661073000,0,李必：想崔器
39,726026722,0,1565979975000,1,回忆拍的真棒
39,842561998,0,1565610131000,0,真是太讨厌闻染了，一件事都没办成过，够搞砸了
39,1759840615,0,1565602844000,6,檀棋檀棋怎么不出来了
39,1012701453,0,1566115922000,0,这才是全剧精华，不懂不想看的滚啊
39,1093992575,0,1566050332000,0,周末举手~
39,420877864,0,1565935139000,1,厦门发来贺电
39,1326659346,0,1566137206000,0,祝我生日快乐
39,1375723930,0,1565722666000,0,话是说的真好听
39,1302274609,0,1565789810000,0,剧情太过拖沓了
39,1380764637,0,1566047757000,0,想要成为元载的那个人也真是一个怂比
39,1052172935,0,1565774111000,1,哈哈14号
39,1042193794,0,1565925022000,1,2019年08月16日打卡~
39,1522424774,0,1565759170000,0,萧规黑化的原因是一直在二楼接收不到闻队的精神感化
39,1167699619,0,1566087960000,0,丝香之路
39,1041331046,0,1566137768000,0,周末签到~
39,340138649,0,1565836585000,7,张小敬：2019.8.15夏日悠悠 贵阳
39,1523770921,0,1565620183000,0,我来补档了
39,1208973195,0,1565711782000,0,死了那么多天了，这些尸体都不臭吗
39,1335710969,0,1565918671000,0,这俩搅屎棍走哪哪都有，真讨厌！
39,1302834343,0,1566088550000,0,丁老三有糖尿病
39,1088457547,0,1565859081000,1,元芳，你太爷爷太阴了
39,1679550264,0,1565648118000,3,许愿女明星的勾引，
39,1180083909,0,1566117089000,0,我充的年卡
39,1001398521,0,1565666848000,0,这么好看的回忆，看不够啊
39,1681014401,0,1566034294000,3,龙波反帝反封建
39,1306231208,0,1565981386000,0,最亮的那一颗
39,1251967862,0,1565836535000,1,这就是让战士流血又流泪啊
39,1109263264,0,1566052535000,0,不看这一段回忆，怎么能深刻理解箫规的做法
39,820189739,0,1565966535000,1,天津理工环安袁静路过
39,1174582037,0,1566047297000,0,我觉得，还不如把回忆拍成电影。
39,1490905028,0,1566136296000,0,回忆大赞啊
