,uid,mat,createtime,voteUp,content
38,1218521337,0,1566120488000,0,为什么张小敬一定要张开嘴呢
38,1148185767,0,1565702403000,0,楼船夜雪瓜洲渡，铁马西风大散关！
38,1243275915,0,1565790082000,0,敌军就30几个？？？？
38,1131526113,0,1565715046000,0,重庆发来贺电
38,1148185767,0,1565703490000,0,萧规蘑菇一样
38,1725009259,0,1565858841000,0,火晶柿子
38,775061178,0,1565891656000,2,那嘴为啥老是憋着呢
38,975242039,0,1566052759000,0,这部剧很具有正能量，乃是每个军人的楷模！
38,1017145041,0,1565621498000,0,大BOSS 是徐斌，所有情节都是他预先算好的。
38,1312906719,0,1565844348000,0,这个剧的演员真的是配角都是实力派
38,1760001109,0,1565863276000,0,张小敬：回忆是为了丰富现在的剧情和人物性格
38,1521328986,0,1565525067000,1,没意义！要是我也不守了
38,1111050714,0,1565884424000,0,为什么不给援兵，死守就是愚忠
38,1460176326,0,1565703968000,0,重庆发来贺电
38,1138689300,0,1565533536000,4,相看白刃血纷纷，死节从来岂顾勋？
38,1091721645,0,1565803775000,1,做的这么逼真，还能给特写
38,1561383281,0,1565791483000,1,南阳的孙金平和马燕，你们在看吗？有人认识她们吗？
38,1750937770,0,1565905262000,1,张小敬快死，
38,1752646320,0,1565859754000,0,回忆总想哭
38,1148185767,0,1565704680000,0,三川道   李霸守！
38,1323166832,0,1565422934000,0,城墙上全都是箭真的夸张还在问有没有箭
38,363613356,0,1565393015000,1,大唐在国外的军队
38,855940044,0,1565878040000,0,中华军人，保家卫国，百死不悔！
38,1342802760,0,1565940353000,0,他们就这几个人 说明敌军也不多 放进来就放进来呗
38,1243101484,0,1565454990000,1,终于有弹幕了，刚才看上一集没有好别扭
38,1152082668,0,1565627187000,0,2019年08月13日打卡~
38,1648931847,0,1565870505000,2,张嘴显得狠😂
38,541469872,0,1565410072000,8,张小敬：回忆是为了丰富现在的剧情和人物性格
38,1382175671,0,1565440642000,6,眼神可以
38,735880717,0,1565514566000,1,回忆拖沓太多了
38,859932659,0,1565691931000,1,每个人都演的那么好全身都是戏，好剧
38,1315067025,0,1565769890000,5,不回忆你们怎么懂的第八团的痛，忍，无奈，反抗！！
38,1450228012,0,1565892910000,0,小鬼
38,1350924215,0,1566021989000,0,老子在吃面呢
38,1047173619,0,1565526380000,5,放回忆交代清楚一点是好事，等下后来看的又说看不懂
38,902763162,0,1565961394000,0,剧情好拖沓，急人
38,709554396,0,1565694062000,5,闻染我爱你
38,1734029671,0,1565576809000,0,因为他在守旗
38,1250089146,0,1565410666000,0,何宗益
38,806651132,0,1565533496000,0,周末打卡~
38,1737410475,0,1565923608000,0,坐标北方打卡
38,1379626751,0,1565699297000,0,水盆羊肉来一份
38,1033360209,0,1565796268000,5,平静之处方显波澜，泪点。
38,1230069143,0,1565788613000,2,张小敬：在主线中插入别的叙事叫插叙顾，不管是多会儿的
38,1038778250,0,1565696623000,0,闻染要比王将军女儿漂亮多了
38,1060541448,0,1565932589000,0,爪子工作室 是不是何孚的工作室啊
38,844218610,0,1565403690000,0,我开了大头特效，你们别议论我的头了。
38,1223151798,0,1565709313000,0,陈阳阳我在这
38,1341899099,0,1565411457000,25,添了个娃，哈哈，，看着刺客信条～长安添的
38,1711269618,0,1565450617000,4,这个剧的演员真的是配角都是实力派
38,1736304045,0,1565976553000,0,还有十一集 不知道要演点啥
38,1464901757,0,1565785713000,7,第八团就是晓组织啊
38,1459300333,0,1565506424000,0,看得内心好煎熬
38,1141177275,0,1565769642000,2,6块钱没了
38,1602966714,0,1565770673000,2,檀棋：我男人帅
38,1215643834,0,1565817670000,1,这叫倒叙和插叙 小学语文没学过吗
38,405415046,0,1565776548000,2,张小敬：李必反杀
38,1218521337,0,1566120493000,0,为什么张小敬一定要张开嘴呢
38,1725475817,0,1565755459000,1,我也觉得这是小乙啊
38,1307818550,0,1565962519000,0,好剧被拖沓死了
38,358391958,0,1566082313000,1,通传也是八团的
38,821352151,0,1565418628000,2,这不得前因后果交代清楚？真正序看你会看？杠精
38,1139124433,0,1566104737000,1,不应该是并州府么？
38,709554396,0,1565694150000,1,闻染我爱你
38,1735503691,0,1565797787000,0,2019年08月14日举手~
38,1355295063,0,1565773358000,4,我是会员吗
38,1152954790,0,1565952257000,0,说拖沓的，你们想要啥？直接给结局？这都是剧情推进啊
38,1370718217,0,1565923918000,0,周一为还是比大头帅一点，哈哈哈 没有对比就没有伤害
38,1312906719,0,1565844324000,1,看看这些兵，再看看上海堡垒里的鹿晗，连头发都不能乱
38,1223151798,0,1565709309000,0,坐标北方前来围观
38,1245517422,0,1565582603000,0,龙波：那，，，他们管爷爷叫啥呢？
38,764567187,0,1566016004000,1,最爱崔器
38,1243275915,0,1565789617000,4,这集解释了为什么张小敬死命要保长安 龙波要毁长安
38,1760809127,0,1565959920000,0,张小儆的嘴巴闭不上的吗？
38,1760050045,0,1565969146000,0,为了掩饰一个谎言死二百多人
38,1589403550,0,1566014577000,0,这才经得起推敲
38,1300094324,0,1565968270000,0,宗器像那个望楼跑腿的
38,1017145041,0,1565621509000,1,大BOSS 是徐斌，所有情节都是他预先算好的。
38,1063205751,0,1565930871000,0,老三是故意吃完口粮，逼着他们退！他不想死的一个不剩
38,1220010920,0,1565915197000,5,张小敬：这还叫回忆啊？侬脑子瓦特了啊？
38,1088457547,0,1565857270000,2,愿捐五十之躯。平南粤小岛之乱
38,397039572,0,1565660399000,1,说用回忆凑的，你要笑死人嘛？不回忆你看得懂吗？
38,1512232139,0,1565881099000,0,2019年08月15日签到~
38,1207879083,0,1565706205000,2,水至清则无鱼
38,1203160642,0,1565596870000,0,京津冀前来围观
38,843638272,0,1565760032000,0,这个镜头拍的太逼真了！？
38,685175413,0,1565763405000,1,龙波死了
38,1731674944,0,1565926482000,0,下面一个人都没有，那来的箭，拽蛋
38,1368049590,0,1565802551000,0,狠心冲会员了
38,1561383281,0,1565791375000,1,2019年8月14号星期三，正宗苏州人沈公子来打卡
38,1587332396,0,1566031051000,0,刘宗器是小乙吗？！
38,1467165446,0,1566102478000,0,有点像琅琊榜
38,1111050714,0,1565885414000,0,非要这样极端，也不是什么智者
38,1088457547,0,1565857167000,0,哭了一集
38,1190165027,0,1565797737000,0,2019年08月14日举手~
38,837994852,0,1565535314000,2,这不就是鼓楼的奸细吗
38,414683208,0,1565607976000,1,牧云记里的小寒江
38,1357839427,0,1565771858000,1,免费送了5天会员，看完就走
38,1047173619,0,1565537356000,2,想崔器了
38,1722549589,0,1565879792000,1,前面三集都不知道放了啥。。现在节奏太慢了
38,1759489135,0,1565774793000,1,脑袋真大，吓我一跳
38,1088457547,0,1565855150000,0,难怪，他也对闻香好
38,686428405,0,1565686942000,1,龙波：快快上来见我
38,1050098958,0,1565697021000,1,江浙沪打卡
38,1334126733,0,1565617701000,0,铁衣远戍辛勤久，玉箸应啼别离后
38,1114529734,0,1565789746000,0,脸上的箭还随着震动颤，细节，
38,1758389951,0,1565708377000,0,哈哈哈
38,1535225056,0,1566020958000,0,这个剧的演员真的是配角都是实力派
38,1012701453,0,1566113385000,0,脸上的箭还随着震动颤，细节，
38,1600676367,0,1566128376000,0,林宁（00）？
38,1037241564,0,1565861704000,0,我在吃饭
38,1010121554,0,1565497032000,2,这剧到底多少集啊？
38,1148185767,0,1565702404000,0,楼船夜雪瓜洲渡，铁马西风大散关！
38,352091108,0,1565428059000,0,宗介
38,1746869908,0,1565407004000,1,超像巩俐啊，宗器
38,1087563570,0,1566049201000,0,张小敬真男人
38,1729846839,0,1565443087000,0,周末举手~
38,1321465534,0,1566045969000,0,头怎么这么大了?
38,1746869908,0,1565407055000,9,单身狗：嗷哦~
38,818758395,0,1565390239000,0,不要枉死！退！不值得啊！！
38,710428882,0,1565794173000,1,2019年08月14日举手~
38,685175413,0,1565763406000,0,犯我中华者，必诛
38,1352580771,0,1565838935000,1,哪有什么岁月静好 不过有人在为你负重前行
38,1543895751,0,1565833354000,1,说用回忆凑的，你要笑死人嘛？不回忆你看得懂吗？
38,1309757847,0,1565786958000,2,宗器是九州牧云的穆如寒
38,1745780676,0,1565421545000,0,京京
38,365166104,0,1565590176000,0,海上牧云记里有他
38,1705437592,0,1565881698000,0,666666
38,1642580465,0,1565956847000,0,剧情好拖沓，急人
38,1701152558,0,1566048778000,0,为什么张小敬一定要张开嘴呢
38,820601710,0,1565521897000,2,龙波应该是烽燧堡活下9人中去西域做生意失
38,960269297,0,1565596555000,7,李必：这剧如果拍24集，就完美了，非要拉
38,1047173619,0,1565526395000,1,这部剧不错
38,1708220239,0,1565781538000,0,来到了VIP专区了？
38,1725009259,0,1565858857000,0,看看这些兵，再看看上海堡垒里的鹿晗，连头发都不能乱
38,1547917908,0,1565945809000,0,没有回忆你怎么联系剧情
38,511350329,0,1565823913000,0,福山区泳山美术
38,1199145886,0,1566044279000,1,这一集断断续续分四五次才看完，太难了。
38,1068117082,0,1565419129000,1,我就住龙首原
38,844218610,0,1565405236000,3,张小敬：第八个哭点
38,1323404954,0,1566049880000,0,好剧被拖沓死了
38,501901321,0,1565452338000,1,降芸神香会让人看到最害怕的东西
38,1332003876,0,1565610060000,1,会员色？
38,1052698113,0,1565761756000,8,有毒，冲了会员
38,1239592280,0,1565613063000,3,太逼真了，吓到我了
38,1316226962,0,1565410915000,4,海上牧云记里有他
38,1047992723,0,1565426027000,0,苏校尉应该是第八团的长官
38,1148185767,0,1565703709000,0,守住大唐魂
38,1602966714,0,1565770620000,0,土豪金
38,350665667,0,1565703354000,0,2019年08月13日举手~
38,1401692672,0,1565525083000,6,北凉北凉
38,1751696124,0,1565969115000,1,这是那个通传吗
38,341253124,0,1565873315000,0,想到了团长
38,361256753,0,1566126494000,0,檀棋：余小凤我想你了
38,1033784173,0,1565882107000,1,萧规是龙波
38,1743459863,0,1566066363000,0,这个那个跑腿的三儿啊
38,1634485842,0,1565689852000,0,看看这些兵，再看看上海堡垒里的鹿晗，连头发都不能乱
38,1480852919,0,1565528926000,3,所以闻染是这200人梦想！她带着这200人的长安梦
38,1370718217,0,1565923842000,0,青龙寺是乐游原？那也不大呀 上次去看樱花
38,824831923,0,1565756452000,0,...不是被射中腰了吗？为何绑腿😳
38,554123288,0,1565856024000,0,怎么都不带头盔不怕爆头？
38,1136533501,0,1565872623000,2,我靠，原来也是第八团的啊
38,1308273088,0,1565835475000,0,兄弟姐妹们，我依然没有开会员
38,1748476822,0,1565607838000,1,四川前来围观
38,1574889610,0,1565617307000,0,甘肃的举手!
38,523442155,0,1565855117000,1,缓存恒久远，一剧永流传
38,1573326010,0,1565957115000,3,张小敬你嘴巴闭不上吗
38,1378099164,0,1565668395000,3,老闻的声音太好听了
38,840067571,0,1565962543000,6,手下人为啥瞒报，还不是上头人的作风授意的
38,1335217967,0,1565442223000,0,超像巩俐啊，宗器
38,1458812398,0,1565402954000,1,我去 可怕
38,1244703547,0,1565680024000,0,李必：这剧如果拍24集，就完美了，非要拉
38,1114159575,0,1565539231000,7,这是穆如寒江
38,1378099164,0,1565668376000,1,2019年08月13日举手~
38,1583037836,0,1565865365000,0,脸上的箭还随着震动颤，细节，
38,1353436678,0,1565661637000,11,演过再演的那叫回忆，这叫倒叙，憋秀智商了
38,403201708,0,1565533676000,0,这箭插的真实
38,981108754,0,1565681087000,0,跳看的不爱跳
38,1043216599,0,1565834974000,0,这个人是陆三吗
38,1464901757,0,1565785695000,19,张小敬龙波就是鸣人跟佐助啊
38,1524617123,0,1566058837000,0,讨厌
38,1760001109,0,1565863276000,0,张小敬：回忆是为了丰富现在的剧情和人物性格
38,780505840,0,1565873344000,0,辽宁前来围观
38,1331596189,0,1565428646000,2,欢乐颂里的弟弟
38,1207224775,0,1565782627000,0,为的这个剧第一次开会员🐶
38,1705437592,0,1565881679000,0,2019年08月15日打卡~
38,1347989878,0,1565794660000,0,大结局了
38,384524628,0,1565512544000,1,真的太惨了
38,1334126733,0,1565617701000,0,铁衣远戍辛勤久，玉箸应啼别离后
38,1233811193,0,1565780775000,0,2019年08月14日打卡~
38,910352852,0,1565892202000,0,龙波：广告在哪？
38,1483658902,0,1566008511000,0,这剧，是两年来，唯一不快进得，
38,466393696,0,1566027457000,0,越来越墨迹了，我都睡一觉了，还没完事
38,1021958302,0,1565446893000,2,这个人是陆三吗
38,1356142964,0,1565874259000,0,龟兹是新疆库车，哈哈
38,598151971,0,1565792727000,1,雷佳音从出场嘴巴就没合拢过
38,1221270595,0,1565784371000,0,张小敬：我最帅
38,808170247,0,1565505930000,10,现在有多憧憬长安，以后就被伤的有多深
38,1743863182,0,1565496384000,1,剪辑的眼瞎啊，死人都动了
38,1138689300,0,1565533379000,11,身当恩遇常轻敌，力尽关山未解围
