,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
47,1017061370,19,cindy2094,1,1566135133239,0,0,为什么最后不让张小敬和檀棋最后在一起？！！啊……英雄不一定非要孤独，唉~
47,1350247998,10,mymucy,3,1566134345765,0,0,好看！
47,1227051845,19,这个夏天你有我27099,4,1566132247058,0,0,每个人都有自己的信仰，自己想做的事，最终不论成与败，心中无愧，坦然便是最好的
47,1406021566,26,Theo47722,2,1566118919477,0,0,"下一季见
"
47,321733335,28,陌者梦忆,2,1566116248815,0,0,棉花 是明朝才有大规模种植吧
47,1753388829,5,的莎柏琳娜o极其倒霉,1,1566115864311,0,0,陈参前后判若两人，是在牢狱生活中通过坚持不懈的辟谷自行打通了任督二脉并悟到了葵花宝典了吗？编剧能不能认真一点?
47,1467357916,12,不二熊Z,2,1566105721199,0,0,淡淡的不舍
47,1063568277,65,小猪妹喵喵,6,1566095144593,0,0,做任务
47,1307848433,19,干-月季,2,1566093393542,0,0,太子太孬。感觉哪里都有害他的人，而他居然没自保的能力。身为太子，居然没有自己的亲信势力，看来他继承大统的确是不合适。
47,788507729,9,帅迪同学,2,1566067117718,0,0,优秀
47,1348239473,9,侥幸de小墨,1,1566060128335,2,0,最讨厌元载和王蕴秀
47,460310563,15,自由如风42416048,3,1566058763454,0,0,听说都没交代完是吗
47,1396608915,26,璽静,3,1566058405744,0,0,。。
47,369892077,84,梦无殇_,6,1566056760195,3,0,到最后才看清这个一直报时的人的长相。。。
47,939688471,2,yueshan32163298,3,1566050360739,0,0,最后10集都有点拖沓了，要是压缩成30集应该更好看
47,1063568277,65,小猪妹喵喵,6,1566033196888,0,0,做任务
47,1040821729,21,Bazingarrr,4,1566023268994,0,0,[黑线]
47,1572771401,22,看遍大千世界啊,3,1566016864339,1,0,虎头蛇尾了
47,1035690239,7,清公子1478890358299609,6,1566010062797,1,0,周一围是这部剧里最漂亮的，故事丰满，性格鲜明
47,841058276,44,星星mx丶,5,1565994704486,0,0,不错的，，，，，，，，，，
47,497925113,20,四分阴阳化无极,6,1565977272584,0,0,庞灵睁开眼来真是一副欠揍的表情，想抽到死的那种！
47,1186416792,3,0oping,4,1565976987433,1,0,徐宾挑唆每个人当主谋～而不是自己是主谋～
47,546149356,35,YKYX0723440,6,1565971448209,1,0,好看好看好看
47,384690349,11,youcan911,3,1565968369359,7,0,和小说相差太多了，感觉拍的挺不错，可惜没能完全拍出小说的紧张感，最后大boss也变了。满意里略带遗憾～
47,390224675,18,桑陌莫,2,1565966357519,0,0,喜欢
47,711496072,30,Mr.Me-J,4,1565965775267,0,0,啊啊啊啊啊结局好多都看不懂，金币呢？永王呢？
47,1300782456,13,4_eveRott,3,1565963907164,0,0,不错
47,846287773,54,shen18wei,6,1565962947085,2,0,林九郎居然会为了个未过门的女婿这么伤心
47,322232664,38,oOYorkOo,3,1565953069951,3,0,最终，三人都为了自己所坚定的目标走下去，结局可能并非对所有人胃口，但是就我自己而言，足以，感谢编剧和导演的好剧，我准备再看一遍书去
47,1330831524,40,林Y小丫,3,1565943738174,0,0,这部剧的制作还是相当上乘的
47,394033263,81,轩轩休闲,2,1565939723780,0,0,好惨两男的23333
47,774221337,8,lele22009949,1,1565936875712,1,0,好片
47,1127492052,9,v顺利de小雨,1,1565936035189,1,0,李毕：道心不坚，加持太子。灵台蒙尘，急于宰辅。
47,1127492052,9,v顺利de小雨,1,1565935797474,3,2,张小敬：侠之大者，为国为民。不贪生，不怕死，不求富贵，不慕名利，心装百姓，眼着未来。不急功近利，不随波逐流。不违心，不奢求。大智若愚，希言自然。白日何短短，百年苦易满。苍穹浩茫茫，万劫太极长。事了拂衣去，深藏身与名。 纵死侠骨香，不惭世上英。
47,1034923328,1,lizhangzhou72097,5,1565929925028,1,2,"长安的太阳，真美
这剧看的我，真懵"
47,1463743292,18,在路上22471,2,1565929743207,0,0,来做任务的
47,1035648609,22,宋大师12,6,1565924551414,1,0,很好看
47,1722676947,82,馨雅666,2,1565921600579,2,0,这个结局以后就是马嵬坡了，颓势无法挽回了
47,356543790,3,神灵无,6,1565913456384,0,0,古代人的脾气就是大
47,1054828748,35,花开有时A_A,6,1565890259292,0,0,来啦来啦来啦
47,331354356,23,虎牙918,4,1565884286391,0,3,重点是太子杀了封大伦
47,983672905,41,上帝的小仆人M,6,1565881159143,0,0,[呵呵]
47,1757440721,6,茶叶蛋极其del宽容同志,1,1565878831896,1,0,这部片子里人物的演技都特么特别好
47,1051643826,24,珍孝,5,1565876107318,2,1,千玺他的戏路才刚刚开始，演技也是需要时间来磨练的，不知道一些老在那里酸演技的，酸什么😳
47,433107394,41,百韬妈妈,5,1565875066175,0,0,看到后面不想去看了
47,1141111932,23,ccm60769071492393386020916,3,1565874298665,0,0,一直认真的追，不错
47,1694233363,9,山茶君滴南春,1,1565863371575,2,0,看完之后，脑子空了，不知道这些人都为啥了？！
47,1124996112,27,CaptainHZQ,2,1565861128288,2,0,这电视剧拍的好人没好报
47,914365974,100,lany宝贝,6,1565857382895,2,0,不容易，一个报时辰的等了46集终于有戏了！[泪]
47,1139540343,34,llww123012,4,1565856781896,1,0,报时的那位是不是右相的暗桩
47,1481621725,22,廉0克里曼斯,4,1565856072138,4,0,感觉这部电视剧里死的都是好人，坏人一个都没遭报应，说明什么问题？真应了古人那句话:“好人不长命”。[呵呵][呵呵]
