,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
15,1041123537,20,逾期不候0216,4,1566133392983,0,0,好看
15,1685567796,8,金雳酱很有决心的,2,1566132210559,0,0,好看
15,352989304,11,R_ilakkuma,0,1566129327132,0,0,好看
15,1335214558,48,郁l御天敌,6,1566128889226,0,0,我来了
15,1490190074,39,飞_haha,4,1566121275110,0,0,好看
15,1371686512,31,鹏鹏慧慧轩轩,4,1566116427037,0,0,细节处理的很好！徐宾身上的墨还有！
15,1060762464,22,逍遥情湘,5,1566112520606,0,0,我想当宰相
15,1060762464,22,逍遥情湘,5,1566112494463,0,0,李必
15,1196650102,34,焦灼等待的白茶,5,1566101710753,0,0,爽
15,1036223887,36,洪麒麟2009,6,1566085638871,0,0,值得一看
15,1095231988,27,T蜜尔娜多才滴,0,1566083469658,0,0,是时候该怎么
15,835982093,9,何姗37002245,0,1566078831855,0,0,[真棒]
15,385296642,52,jincheng0722,6,1566061555730,0,0,。。。。。。
15,1309200951,10,只怕你惊于飞流,0,1566060538418,0,0,徐宾酷啊
15,1081530241,9,Koko99573,0,1566047352526,0,0,细节到位
15,1055038820,19,discours1479730962695904,5,1566046079702,0,0,太多集了。。。。
15,1046583886,12,wuyangfeng2007,2,1566043973795,1,0,一个人都能在楼台上看的清清楚楚，却看不到这偌大的马车，也是醉了!
15,1634525047,11,今天去看电影吧,2,1566035901110,0,0,檀棋说张小敬，登頭子，是什么意思？
15,335267306,66,冰天血玥,6,1566027904720,0,0,真是不错！
15,368736406,49,洛丹沦的夏6A,5,1566016997824,0,0,有西安话版本吗？
15,600781811,36,梁蓝桥,2,1566005904226,1,0,会员也有广告，真好
15,1036607096,35,梁思怡930322,6,1565999321314,0,0,心疼徐宾
15,1527380367,21,富贵的向珊君,4,1565989384891,0,0,喜欢易祥千玺
15,1141579901,100,军容47111,5,1565973276538,0,0,"哇哦
"
15,390483328,12,乒乓兔97830022,0,1565967822473,0,0,太长了，已经懒得看下去了
15,1004301208,4,xl伊莎贝尔极桑de棋逢对手,0,1565964023129,0,0,我看到16集了张小敬都不怎么用刀，长安城里追三辆马车的反而不用刀，用刀岂不更快解决？!人命关天啊
15,1524400387,18,壮烈de银饰桑,0,1565962891897,0,0,车上几人是装死吧？？？？？？？？？？？
15,1188923491,7,若晗927,2,1565950163933,0,0,会员颜色
15,1755958462,1,林德伯格钟8,0,1565946504018,2,0,元载家的小姑娘可爱
15,1400023283,2,易氏小朋友呀,0,1565942148650,2,1,四字拍戏的时候才是17，没学过表演，所以演技可能不会让所有人都满意，所以我们接受批评，但是有些人说话确实是很过分，总是在说四字演技不好，说导演让四字来演这部戏完全是因为四字的人气，四字是有人气，但是豆瓣高分也不是完全靠人气才能带上来的，还有这部剧的制作等等方面，如果四字演技真的那么差就不会有那么多人看了，有些帖子也说过四字这次的演技确实是跟得上这部剧，我们四字演技还很嫩，但是他会努力的，谢谢
15,1704983605,3,这里是十二呀呀,1,1565932754556,0,0,真的很有感觉
15,1750356365,9,伦敦de君精彩,1,1565919452756,0,0,啊啊啊
15,1093516129,7,杀破狼85121,0,1565903704763,0,0,音乐还是不错的
15,988408327,13,给我钱好么,1,1565882614759,0,0,打包了
15,1308000561,13,战场幽灵21280,0,1565874037399,0,0,这个右相和这个吉温还有点可爱的噢
15,1109329690,47,tb96966491,5,1565870485430,0,0,好谈
