,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
46,1039625478,14,肖妮妮1987,2,1566138348671,0,0,萧规死的时候哭了😭
46,1038984002,8,zjandy177,5,1566137334801,0,0,檀棋一下就把兵权交给元载了，真厉害
46,1178304959,18,YaoYuki52152,3,1566136979332,0,0,还能再拖沓些吗 这个据
46,473186702,36,老黑_Black_King,0,1566131599180,0,0,不喜欢张小敬 喜欢箫规
46,1419260519,13,M小强年青的,4,1566124873140,0,0,ll
46,1161851227,16,高榕1993,2,1566121483931,0,0,好剧
46,417947583,14,断蝶恋歌,3,1566116099133,0,0,元载王蕴秀为何一直不死，真讨厌
46,1089462180,21,Selfffishy,4,1566113728160,0,0,看见元载就恶心
46,1175427451,17,张维亮38298,2,1566108966679,0,0,真挺好看的。
46,1472992199,11,可以优秀,1,1566108851882,0,0,一般吧，算不上年度热剧！
46,1752100045,6,8聪慧deY蜜尔娜最,1,1566108275935,0,0,元载真得死
46,1598451283,4,滴极其伊甸-突出,1,1566107993252,0,0,非常好
46,808872076,55,W丶JH,6,1566104131196,0,0,好
46,1381641646,38,888杨洁池,4,1566102792223,0,0,还谭祺，自己带兵不管了交给别人了，他元载是谁啊，你谭祺还听他安排了，这剧开始真好看，后面太剧情太牵强了，没有逻辑
46,459545297,36,瑾伊瑾伊,3,1566101459743,0,0,想看
46,720432566,15,喝口新郎酒新郎不用手,1,1566099704263,0,0,看到萧规如此我哭了
46,1053060300,27,雄仔1124862579,0,1566097283962,1,0,好看
46,1664123442,16,冬冬想上树,3,1566094776996,2,0,良心好剧！所有人演技担当，真心好感动
46,1607531807,20,-_-浪矢,0,1566093448021,0,0,。。
46,1222939346,28,o_o萨琳娜i,4,1566092875166,0,0, 结局了，瞬间觉得没剧追了
46,1513155982,3,励志追星小陈,4,1566092273577,0,0,再见我的李必小狐狸
46,1034818536,40,jolly2001,6,1566089888104,0,0,嘿嘿嘿嘿嘿嘿
46,1193759177,25,韩哥74897,2,1566063939982,0,0,十二小时40多集
46,645046018,29,低头唱忐忑,2,1566059904794,0,0,期待已久
46,326991985,69,菜鸟高飞,6,1566058418807,0,0,年度最佳
46,1162332044,29,zhu事顺意,2,1566055519097,0,0,拍到四十多集实际上这十二时辰已经过了，这剧一天之内发生那么多事，给人一种平行时空的感觉，平行世界内，同一时间由不同角色发生不同的事情
46,1204809132,13,L_James戈登,2,1566051671426,0,0,年度大剧。
46,844497856,8,笨笨珍藏版,3,1566045924428,0,0,非常好
46,501106852,54,药不能当水喝,6,1566045324568,0,0,整个长安十二时辰看感:大时代，大时代。
46,499257895,78,cs9420,6,1566043863033,0,0,后面这几集怎么这么墨迹
46,1438470557,16,登高望远zgq,2,1566038402104,0,0,越往后看越觉得荒唐！
46,417422227,31,次爱了诶,4,1566037267059,1,0,"烂尾
"
46,420739277,7,桑的巴比特强,1,1566024757694,0,0,😠
46,1350456772,24,野马7464,0,1566023420461,0,0,👻
46,983689966,25,略略呐,6,1566021270573,0,0,做个任务评论一下，嘿嘿嘿
46,617817591,3,happyselfcong,5,1566019176704,2,0,这个王将军的女儿，走路左摇右摆的，且不说人设是个女汉子性格，就是那个时代的下层风尘女子也不会这么走路吧。我看葛老手下的女性每个都得端着。这演员是有门路吧。这角色本来英姿飒爽，给这演员演得一股风尘气
46,1118659782,8,娘馨,2,1566018840504,3,0,剧本虽不太尽人意，但欣赏全体人员的认真，特别电视剧可拍成电影般大场面，无论场景，导具，灯光等等，是目今的商业化的市场少见，此剧有它的精致，值得一赞，我亦是搞艺术，搞艺术不易，观众多些欣赏，宽容，换位思考吧
46,1067732698,61,wujianyx1982,0,1566017179667,0,0,很好很好
46,1036169581,24,835848637c,3,1566013712936,0,0,加油
46,721578705,44,訫暖暖嘚,3,1566012200313,0,0,认真拍的局认真看！
46,1579909431,29,澹台a古墓,3,1566011158601,1,0,张小敬一天守护这个守护那个，最后就把身边至亲至近的人都送死了
