,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
32,1031550589,39,水仙的普莉斯拉,6,1566134250321,0,0,还可以
32,1532229244,17,tb415501235,2,1566118278108,0,0,易烊千玺加油！
32,1095209331,31,香宝宝lx,6,1566116390182,0,0,怎么有广告了
32,412649785,27,felix飞宇,0,1566114947810,0,0,二十五集后基本废了，故弄玄虚。
32,1629017826,22,8分外桑滴小禹和谐,3,1566114435696,0,0,这些人真的是想恨也恨不起来[勉强]
32,1758837997,1,周嘉大28,0,1566113005985,0,0,好看
32,1035309941,29,tb_8840298,3,1566092175089,0,0,👍
32,373390299,37,天天向上14984891,4,1566057754526,0,0,，，
32,1036235026,16,冬枣美美哒,5,1566046362290,1,0,好看
32,1428845882,4,LISA的琼斯,3,1566038603648,0,0,才看
32,1129549016,7,晴天薯条,6,1566021154060,0,0,挺好的
32,1308000561,13,战场幽灵21280,0,1566019998504,2,0,元载真小人也，但往往最终就是这种小人能赢
32,1731172627,10,小神de亲代荷,2,1566017568716,0,0,很好看，良心剧。
32,342790696,7,lanaxyz,0,1566011338883,0,0,为什么我看十二时辰会跳跃，播放条有蓝色和无色的，像断点
32,1368739058,39,正经de基努55827,0,1565990730626,0,0,高潮迭起
32,1568060079,6,jiawen690630,0,1565986096504,0,0,姚汝能
32,1470760328,21,李琳54343,0,1565968721762,0,0,最爱檀棋
32,1210116011,39,殷阿博特,6,1565956738529,0,0,为了凑集数，剧情越看越没劲。
32,1326761256,29,羊T内厄姆,4,1565953782966,1,0,这集最假，打半天没打死一个！
32,806131989,15,平安是福96250258,3,1565950101444,0,0,看看字是什么颜色
32,1607736614,6,爱玩粑粑的阿拉蕾-,1,1565927229695,0,0,小李必！！！！
32,1061377089,44,绞股蓝0202,6,1565910891517,0,0,好看
32,1144631301,48,小花蝴蝶与妮,6,1565901626574,0,0,这个元载是个最可怕的人
32,685621366,5,我是海城00,0,1565882587588,1,0,此剧为不可多得的好剧，角色的定位，演员的演技居为尚佳，千玺的演技略为欠佳，但也是可圈可点，其他人几乎无可挑剔，特别是那几个反派角色，元平事、右相，等等都为上上佳！好剧，好剧，好剧！
32,1686478475,5,优酷用户1559217127356989,3,1565875085526,0,0,为什么张小敬和姚打架都不用武器 只用拳头
32,1727757504,7,倩倩滴亲杰罗姆,2,1565867311141,2,0,12点了还不灯宴？
32,1227461392,22,滴特罗洛普H谨慎亲,0,1565864584038,2,0,徐宾实力太强，希望不是反面大幕后
