,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
9,1763024766,3,ios游客用户1565924644820539,0,1566135860770,0,0,不得不说雷佳音演技真的很好啊！演的真的很入神！
9,910005516,42,1s_小不,5,1566133769276,1,0,好看
9,839269012,17,林木之平平,6,1566119140207,0,0,期待新的开始。
9,1743982501,2,哈特鲍威尔亲的,0,1566119056956,1,0,雷佳音才是这部剧的灵魂
9,1214408108,13,环境与工程地球物理勘探,3,1566118394333,0,0,怎么第九集一直打不开啊
9,1063618391,31,o基努非凡滴,4,1566103575963,1,0,好看
9,1371686512,31,鹏鹏慧慧轩轩,4,1566100105578,1,0,"我不追星，也不是谁的粉丝，个人觉得易烊千玺在剧中的表现，可圈可点，当然比起剧中的老演员还有一定的差距！
此剧有大片的即视感！"
9,1338566779,3,陈如意如意如意,4,1566096203729,0,0,会员第九集为什么看不了？
9,1037254096,25,傲气宝宝1,5,1566082382610,1,0,这个剧好看 雷佳音演的好
9,1507919777,23,桥豆麻袋1208,4,1566066210352,0,0,棒
9,780159512,31,阳关的字母A,6,1566057808966,1,0,还不错，期待第二部
9,1202171254,17,蒙德的基蒂,4,1566056813521,0,0,不错
9,1218892593,5,胡萝贝奶茶,0,1566055791029,0,0,咋发弹幕啊
9,1728422817,3,tb815648510,1,1566055062669,0,0,第九集打不开
9,1575671537,6,春晖40498,1,1566048063125,3,0,张小敬之大忠大勇大智无人能比
9,1575671537,6,春晖40498,1,1566047932275,2,0,心疼张小敬
9,817161402,26,xi墨凉,3,1566046601772,0,0,😁
9,1035902331,13,我不是那种粥,5,1566045999195,0,0,好看啊！！！！！！！
9,1164758918,24,q5688077,3,1566044924702,0,0,[呵呵][呵呵][呵呵]
9,1328685247,5,永夜0907,1,1566043938974,0,0,第九集看不了啊。
9,338370339,64,游戏男孩,6,1566028816685,0,0,铁甲依然在
9,1380033895,20,der5890336859,4,1566025677391,0,0,千玺加油啊，你还有很长的路要走呐!期待你大放光彩的那天。[爱心]
9,1763272670,2,li鸠摩智极度同学de慎重,0,1565984907369,1,0,这个闻染被绑几次了？这才多长时间？
9,1061778494,12,不会假慈悲,0,1565978543327,0,0,简直太完美了
9,1037464804,19,jonathan高高高高,3,1565962696247,0,0,第九集不能看吗？
9,953190323,31,河北2890021,1,1565961185330,0,0,看着崔器那煞笔样就烦
9,989171382,21,枥6269327088,6,1565940574605,0,0,看的心酸 
9,1244963746,31,君梦礼,2,1565894763787,1,0,看不懂
9,1189649080,1,腾8407669,0,1565876127901,0,0,好看
9,1749085922,6,易烊千玺和清华总得上一个,0,1565844122407,5,0,易烊千玺和别的小鲜肉不一样，采访时千玺表示不是很喜欢上综艺增加自己的热度，也不愿意演都市爱情剧，喜欢接受有挑战的剧，磨练自己的演技，这部剧是在他进中戏之前拍的，演技值得肯定。已经很棒了
9,1754380026,4,章鱼博士斯梯尔君的,1,1565840554098,1,0,崔旅帅表情丰富
