,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
12,1132847959,28,Fly1nSky_,6,1566127267200,1,0,"真的是太良心剧了 从群演的装到布景 太用心了
"
12,603319378,21,非常烦没有空,5,1566127011800,0,0,打卡
12,1069260700,12,乾道智库,5,1566119654569,0,0,绝对的里程碑大剧
12,1069008927,44,功夫宝贝008,6,1566112138803,0,0,表示看不懂
12,1734276063,5,de锡西w特不耻下问,0,1566109177977,1,0,就不喜欢闻染，好作
12,1683380635,7,吕文泽曲芳欣,3,1566109051513,0,0,哈哈哈个
12,365655740,50,嘿你的益达82595721,6,1566107878886,0,0, 还行吧
12,1498993212,4,晶莹埃尔韦拉的分外H,0,1566102769292,0,0,是一部真正的好剧，但是剧中人物对吃的车西如水盆羊肉等频频出现，感觉有点硬推赞助，拖低评价。
12,1035574028,16,沙漠浪子0007,0,1566096498225,0,0,长安，真实写照应该不是这样的
12,1035051239,48,说好的菇凉去哪了,6,1566095321909,0,0,，
12,1025494947,14,zsj1994060554994,5,1566092214289,0,0,。。
12,618461654,6,↘凝芸冰澜,5,1566088809937,0,0,良心剧
12,1718469552,6,滴秀才天行者同学,1,1566078938766,0,0,真的好看(｡･ω･｡)ﾉ
12,822203638,11,褪下戒指大胆前行m,0,1566057018411,0,0,不错
12,364968293,17,寥落的秋风,0,1566053179387,0,0,这个剧好看，不是，也不止是两个主演，是所有演员，特别是配角门的努力，我都看见了，我都记得[呵呵]
12,603319378,21,非常烦没有空,5,1566050763971,0,0,打卡
12,1216781325,18,kecoqinqin,5,1566050672721,0,0,👍
12,1538965355,4,-悠闲de格格,0,1566045865690,0,0,加油易烊千玺[大拇指][大拇指][大拇指]
12,1335619751,17,诺伊斯宿0,3,1566045174312,0,0,我也看的糊涂
12,1081530241,9,Koko99573,0,1566041098867,0,0,不认真看就有点懵。不过是考究的剧
12,1300087213,14,双全85830,1,1566038129578,2,0,靖安司的大数据用得不错，服务器配置高速度快。
12,1221903149,48,王思宁60988,5,1566003022195,0,0,我来领奖品了[啊]
12,1621467474,26,氵斿龍戲鳳,2,1565984032038,0,0,...
12,786259060,3,wangyouzhe83,0,1565963927969,2,0,千玺这孩子眼神透彻一身正气，比那俩小子强太多
12,836461779,45,我不是故意的850,6,1565962801550,0,0,[大拇指]
12,686555388,4,小煜煜的娘亲,6,1565962108476,0,0,我为什么看不懂
12,1224031285,24,小小槿榆,3,1565961585384,0,0,。
12,603319378,21,非常烦没有空,5,1565960242613,0,0,打卡
12,1753488137,5,的斯特朗枸杞亲,1,1565956931215,0,0,非常好看
12,1704885732,10,君娜娥迷基托的,2,1565945328967,0,0,超级好看
12,1346073639,20,月9051223350,2,1565936355763,0,0,[真棒][真棒][真棒]
12,1692689853,10,滴分外真诚1锡特尼,2,1565933964537,0,0,在
12,1742574294,6,销魂朱莉安娜过于dem,0,1565929998526,0,0,打卡
12,591641452,50,朝日山乘,5,1565928741973,0,0,一共48集，每集30分钟左右的正片，正好十二时辰。
12,1050504568,7,刘佳1479453047986499,0,1565924862483,0,0,牛批牛批
12,964339720,100,微风ld,3,1565917752340,0,0,不错
12,603319378,21,非常烦没有空,5,1565879167535,0,0,打卡
12,1435132257,6,逯o瓦特,1,1565868580918,1,0,锤子为什么掉不下来？
12,691730659,8,栗壳子万花筒生活站,0,1565859270666,0,0,为什么看到第12集的时候，对它的完美感在闻染这里中断了呢，哎，谁能哄哄我吗[汗]
12,1491311015,18,梦啊梦04330,3,1565841466178,0,0,看的很费脑，不过剧情不错的
12,1111008100,11,的章荣耀同学,0,1565836592274,1,0,看了十二集了，唯一的遗憾就是打斗场面欠缺点，其它完美！
12,1090750498,5,何立洋94924,0,1565795450341,0,0,娱乐圈整治是有效果的，不希望一直直看到那几个霸占荧屏
12,603319378,21,非常烦没有空,5,1565787605606,0,0,打卡
12,1020055421,9,不念过去不畏将来74000,2,1565782868102,1,0,他们总嘴里嚼的是什么东西
12,405712248,48,holle一诺君,6,1565768772952,0,0,大结局脑洞狠大
12,460458230,3,shijiugong72195,1,1565752812557,4,1,卧槽，那个苹果耳机的广告不静音过不去了，总是把我手机上的siri给叫出来，然后一直重复[汗]
12,759234032,100,王柚柚zz,2,1565746932090,2,0,千玺好帅
12,951869639,44,243826850博博,6,1565721192169,0,0,。
12,1456876211,6,顾桑de斯內普,0,1565714704795,0,0,这是我至今为止追过的最心累的一部剧。[冷]管你头痛不头痛就是头痛。
12,1456876211,6,顾桑de斯內普,0,1565713294064,1,0,开了最小倍数，还是念得贼快，而且还听不清，还得不停地按暂停，心累，我看个电视剧容易吗[疑问]
12,1524400387,18,壮烈de银饰桑,0,1565695404798,1,0,这是电影吧？
12,1524400387,18,壮烈de银饰桑,0,1565695249556,0,0,看了晚上不敢睡觉
12,603319378,21,非常烦没有空,5,1565690581913,0,0,打卡
12,1316561461,6,tb50650796,1,1565674431431,0,0,其实这个两个狼卫本性还是善良的
12,1515995669,38,秦余磊66,0,1565664108547,3,0,怎么昨天看还是9.0评分，今天就成8.9了……
12,934049138,62,哈哈就是呵,6,1565658346372,0,0, 啦啦啦
12,1190899631,10,的云冰蓝桑,4,1565626866277,2,3,还里程碑十二时辰  足足演了48集  那么多内容12时辰  首先名字跟内容都不符
12,1029209165,7,风停了雨还在下1478262525115403,0,1565621880805,0,0,你还有
12,1029209165,7,风停了雨还在下1478262525115403,0,1565621824625,0,0,好看吗
12,1053666825,9,无恙然安,1,1565617571495,1,0,为什么结尾不让谭琪和张小敬在一起、为什么不把王和元杀了！还是要有始有终
12,455426372,14,云水谣_YSY,0,1565616750225,2,0,编剧一级棒！制作班底一级棒！演员一级棒！
12,455426372,14,云水谣_YSY,0,1565616681839,3,0,古人用来清洁口腔的东西就是薄荷叶吗？哈哈哈，也就是现代的口香糖啊！这剧真好！让我们了解了一些真实的古人生活方式。
12,593231453,41,贱贱的糖宝,5,1565615607370,0,0,🙈🙈🙈🙈
12,1502004845,13,lnimfinite,3,1565614269324,0,0,还可以！
12,603319378,21,非常烦没有空,5,1565611616328,0,0,打卡
12,1069518289,100,網名難產中,3,1565608452852,1,0,好看！
12,1036694081,15,linaliwen1478912783065407,0,1565607425167,1,0,好看
12,1543617186,4,杜bomer,4,1565604854521,0,0,！！！！！！！！
12,1530973659,5,xi玺你成疾,0,1565595754924,1,0,为千玺打call
12,1044201791,58,渣人不渣,6,1565590293459,0,0,1
12,1199610754,17,写实滴兰花,4,1565549322075,0,0,曹什么这个他们的人才傻，好可怜
12,1714046876,21,好爱烊烊,0,1565535700177,1,0,这部剧真的很不错  本来是因为烊烊看的这部剧  想过会不错但还是惊到我了
12,327424297,7,马德里的小鞋匠,0,1565526778464,0,0,挺不错的
12,1378504402,20,过火de老王,0,1565523325249,3,1,都是一群被所谓的信仰和愚昧坑了的人
12,1378504402,20,过火de老王,0,1565520636800,1,0,这帮人嚼的薄荷叶可能是阿拉伯茶
12,1758328674,4,H急性dei靖雁最,0,1565518210543,0,0,所以说徐宾是好是坏啊
12,1055627835,18,tb2461109_2012,5,1565511956118,0,0,12集坐几个胖子中间是用屁熏吗[勉强]。
12,1441014205,11,油菜籽8585,0,1565506400155,0,1,这个闻染死不足惜
12,1441014205,11,油菜籽8585,0,1565506232447,0,0,感觉这些狼卫都是傻子吗？被这个利用完被这个利用的。
12,1718386044,2,宛儿de君守望者,0,1565505382336,0,0,看了几集感觉还行
12,603319378,21,非常烦没有空,5,1565498071395,0,0,打卡
12,322023050,60,broken198458,6,1565485435829,4,0,一部没有必要挑刺的好剧
12,1163336559,25,black先森任纪元,2,1565463511506,2,0,用人挡风，大哥你真会玩啊😄但那人排气怎么办[勉强][勉强][勉强]
12,1163336559,25,black先森任纪元,2,1565462961063,0,0,狼卫那帮人怎么跟个野人似的
12,437284292,23,陈味儿oba,0,1565458575781,3,1,这个周一围演戏演的过头了吧，总感觉有点自以为是的亚子，不是演技不好，就是感觉演的太用力了，很让人出戏
12,1045284687,10,兰某某妞,0,1565455534745,1,0,所以是不是这里每个人都有自己的小秘密
12,1199482265,10,莎娃79869,0,1565449565036,0,0,还狼卫。
12,603319378,21,非常烦没有空,5,1565446180582,0,0,打卡
12,326348974,6,44933欣赏美,1,1565432361538,0,0,画面很美，但剧情有点拖沓，二十多集就好了
12,421084071,100,孙超30342,5,1565412437890,1,0,片没想象得那么好
12,858967881,26,买辣条的大帅比,5,1565407189709,2,0,长安跑酷？？？
12,1106779875,20,李褚天昭,4,1565406796782,2,0,公子，等着吃饼啊，吃了饼，好做梦[滑稽][滑稽][滑稽]
12,1093351336,100,抗原决定族,6,1565403041008,0,0,好
12,1750184900,2,_紧迫的1胡椒极其,0,1565366320531,5,0,一天24小时，一集半小时，正好48集，12时辰
12,603319378,21,非常烦没有空,5,1565348596491,0,0,打卡
12,1578724006,6,轻闲的沃尔特酱,0,1565345274652,1,0,他们吃的什么
12,1471908692,22,m月牙m,2,1565331463558,0,0,我儿王腾有大帝之资
12,1494320961,26,xap_0609,4,1565318375624,0,0,ᵎ(•̀㉨•́)و ̑̑ 加油
12,1469785724,1,妩娘姿,0,1565316826994,3,0,有种看电影的感觉，太真实
12,1749852977,7,哈姆雷特略微deA冰肌玉骨酱,1,1565316365602,2,0,不错，都很好，千玺年纪小，这样很不错了
12,1046928381,27,叶凋零1479257921601646,6,1565282233555,3,0,好喜欢曹破延
12,1201655211,100,潘妮的林德伯格,4,1565281298318,4,0,一天的事情能编电视剧四十多集电视剧，人才啊
12,906017169,43,崛起的雨寒桑,5,1565254649732,1,0,堪比电影大片[花心][花心][花心][花心]
12,748690099,5,T于密德尔顿,0,1565244174930,0,0,有毒
12,748690099,5,T于密德尔顿,0,1565244144043,1,0,那个太监有毒
12,591473375,41,你是我的小幸运哦,6,1565238423971,3,1,画面很好，良心剧，加油我的易烊千玺！
12,1225467054,8,-困苦de黛娜,0,1565236666018,4,0,这个胖妞演技好好，感觉很灵动，神印也好听
12,1225467054,8,-困苦de黛娜,0,1565236568335,8,1,李必和檀祺的感情戏演的很好
12,1175403735,18,wanglina43883,1,1565235542030,8,2,只有我觉得狼人曹破延他们太可怜了吗 真不希望他们死
12,1494320961,26,xap_0609,4,1565217296233,0,0,|｡･㉨･)っ♡　喜欢你♪
12,1738200643,11,酱蓬勃极x半梦滴,2,1565189104914,5,0,大唐牌口香糖的吃法真豪迈
12,1712746027,4,m浓厚dem莎柏琳娜略微,0,1565185759328,2,0,什么时候都有坏人哈，不对，是恶人
12,1370235400,8,翔9170800294,2,1565176861085,2,0,怎么我看不了第12集，你们正常吗？
12,1612605467,9,暗黑l越发寄灵滴,1,1565156013174,0,0,"双锤啊 骨朵是龙波那个是 铁
骨朵"
12,323472848,48,左岸青春右岸年华,0,1565152193699,0,0,12
12,816702500,4,曾经陆军,0,1565148856807,3,0,这部古装我要评论10分[真棒][真棒][真棒]
12,1494320961,26,xap_0609,4,1565135838800,0,0,ᵎ(•̀㉨•́)و ̑̑ 加油
12,1237353035,23,随波逐流16086,4,1565122861682,8,0,什么是电视剧中的大片，这就是！无论是细节，服装，场景，色调，特效，情节，大小演员之演技都堪称完美。那些所谓的名导们可以回家洗洗睡了，不需要你们超越只需要你们达到这部剧的水准就行。
12,1577698221,5,老吴很的0特别君,2,1565119970044,2,0,阿细太瘦了 也不笑 看起来并不开心希望拍完戏被善待
12,1193611116,25,校庆wang,0,1565113965732,4,0,作者可以把十二时辰描写的这么细腻，天才。
12,1093351336,100,抗原决定族,6,1565099902711,0,0,好
12,353829248,20,好聚莱衣柜夏冠业,0,1565099284199,0,0,6啊
12,1747545693,7,酱灵敏过于1胡椒的,0,1565094779019,1,0,張小敬可真是有本事！就連永王都得遵命！
12,1747545693,7,酱灵敏过于1胡椒的,0,1565094704700,3,0,胖胖的小丫鬟都演的如此好！真是精彩！
12,1188011534,11,玥瑤69145,0,1565093904075,1,0,十二个时辰过得好慢
12,603319378,21,非常烦没有空,5,1565087553228,0,0,打卡
12,1196307947,17,张田田1212,0,1565083130030,0,0,徐彬是主使
12,1079753646,17,岑丝柏凌1,0,1565079666919,0,0, 为何要吃薄荷叶呀？
12,1695498337,7,惜雪沃纳同志de,0,1565069479868,15,0,这片子不拍成电影可惜了，无论色彩，取景，音乐，演技无可挑剔啊，每集像看大片一样，这剧应该放电影院轮流播放
12,1732313707,10,审慎南莲特dea,0,1565056055863,2,0,千玺这小东西演技还挺好。
12,340828727,21,错过蓝天,0,1565051950848,2,0,放了我张小敬的人：我可能另有其人，不是指张小敬
12,1175408147,26,dandan08468989,0,1565021948935,7,0,我以为琅琊过后再无古装剧 还好没错过
12,763914767,35,欧阳的晋同志,4,1565013025684,4,0,千玺缺乏微表情
12,1754570298,3,de极其任性长老同学,0,1565010516810,1,0,跑了一条街了，就没个官兵吗？
12,603319378,21,非常烦没有空,5,1565002655804,0,0,打卡
12,1038814332,13,198905qin,1,1564980425126,4,0,细犬 哮天犬元尊
12,1688939151,4,de艾谱莉百里酱,1,1564974913829,2,0,真乃神剧也
12,1730182462,10,麻de杜达同志,2,1564964190234,2,0,好想把崔器嘴里的东西弄出来，看着真难受啊，口水横飞
12,1315550517,25,漆雕M露比,4,1564963783195,0,2,里面女人的化妆一言难尽，跟RB艺J似的，唯一看不习惯的
12,1549802644,8,cloud06506,1,1564936377363,2,0,崔器这人真是。。。傻的可爱
12,603319378,21,非常烦没有空,5,1564929963026,0,0,好看吗
12,1366727764,12,紫罗兰69944,0,1564910260322,0,0,不能下载怎么回事
12,1145204335,100,Walter大飞,0,1564906604182,0,0,还不错
