,uid,userLevel,userName,vipGrade,createtime,voteUp,downCount,content
18,1240795862,33,浮生若梦xyn,6,1565363923977,2,0,谭棋化了唐装整个一个谢娜啊
18,1729698451,6,小瑜布劳桑滴,0,1565363413554,2,0,好像看了一部超长的电影
18,1638286207,6,de太坚决u妮可拉,0,1565355824939,1,0,周一围也太帅了吧
18,1404006435,8,杨嘟嘟-嘟嘟,2,1565354672184,0,0,为什么我打不开[喷]
18,1250141293,7,pig萌萌,5,1565340559191,0,0,额
18,1737142882,1,甜点的亲妖娆,0,1565326553933,1,0,猜想何老知道幕后主使是谁。而且这个案子跟徐斌有莫大的关系[吐舌][吐舌][吐舌]
18,424013020,39,索妮德,5,1565320986948,2,0,这傻子感觉不是真傻，一肚子明白
18,855441440,31,魅影6868,5,1565315606100,0,1,ʕ•̫͡•ʕ*̫͡*ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ*̫͡*ʔ-̫͡-ʔ
18,1183264848,2,tsdalileef,0,1565305358506,1,0,看了三遍广告了
18,1423838711,15,樱酒2957755247,0,1565276546590,0,0,很喜欢!
18,843551205,64,一路向北么,6,1565275427146,0,0,九州牧云记的班底
18,1202415141,16,chukelei,0,1565275029245,0,0,很不错，电影画质，值得推荐，剧情慢，需要慢慢看
18,1730707667,4,同学成熟十分w田螺的,0,1565263744647,0,0,今晚还更新吗
18,1198328997,1,艰难的貂蝉-,0,1565255004526,1,0,不行，长安赶紧没吧心疼萧规，大头为什么不杀永王报仇啊
18,1640902194,12,同志夜魔侠赫蒂滴咿呀咿呀嗨呀咿,0,1565250384123,0,0,[啊][啊][疑问][不高兴][不高兴][不高兴]
18,1250141293,7,pig萌萌,5,1565248537085,1,0,额
18,1520537827,11,晴天玺欢你,1,1565246542658,3,0,嗯，我在思考人生，为什么我18集就是加载不出来，难道是我人品不好吗[疑问]
18,1225467054,8,-困苦de黛娜,0,1565246329962,0,0,剧情环环相扣好精彩，让人永远猜不到下一秒会发生写什么，
18,1315550517,25,漆雕M露比,4,1565237739350,1,0,不对，是化妆
18,1476216526,32,相貌堂堂的卓别麟同学,4,1565234685737,0,0,别说话
18,1145032821,26,惠州赛格,3,1565182383281,4,0,"龙波聪明，在李必身边安插一个跑腿报信的，自己藏身在何监的别院里。😁人活着，傻点，愣点，憨点，都没关系，简单点就好，太精明，太清楚，太明白，会伤心，会难过，会心累，受苦的只会是自己。无论是朋友，亲人，还是爱人，都别太较真，糊里糊涂的才能相处下去，这就是最大的明白。谁也不比谁聪明多少，谁也不比谁傻多少，你和人玩心，人不和你认真，你对人欺骗，人让你滚蛋，有时候只是不和你计较罢了。
傻人，不代表真愚蠢，只是为人忠厚罢了；傻人，不代表眼瞎，只是不想拆穿罢了；傻人，不代表好欺负，只是大度忍让罢了。有时候不计较、不生气，是因为还有情义可言；有时候会心软、会原谅，是因为深爱还在。"
18,727930926,4,你早35192282,2,1565181117510,1,0,看到葛老黑人那里原谅我出戏了好几集[泪][泪][泪]
18,827207801,20,有点的劳伦斯8,0,1565156672026,2,0,18集放不出来吗？打了几遍打不开
18,515563659,44,猛宠乐园,6,1565152352321,2,0,"
雷佳音实力派"
18,1501082648,17,我的林俊杰易烊千玺,0,1565147938138,0,0,。
18,1511411404,1,红尘de兢兢业业,0,1565129194556,1,0,这是一部需要用脑子看的电视剧
18,1362827778,4,赏M玛丽安,0,1565107847624,1,0,这样的王朝，守它何用。
18,577753886,10,yf1386553,0,1565107616114,2,0,好看
18,1351738237,6,廖飞燕燕,0,1565065611980,3,0,此剧很牛
18,955300063,8,coco小怪兽mm,2,1565064966098,9,0,我每次看见监狱的书生，我就超级想笑[泪]
18,1152223243,24,wangjing1981341493904811991772,3,1565063236522,1,0,这个姓姚到底替谁做事？
18,1404010597,100,米桑的剑圣,3,1565061747340,0,0,看到这部剧我就想起狄仁杰 想起狄仁杰我就想打王者 不说了 我去打一把妲己先
18,1404010597,100,米桑的剑圣,3,1565061658846,1,0,看到这部剧就想起狄仁杰 想起狄仁杰我就想打王者 不说了 我去打一把先
18,1466158925,7,水易之于浮水,0,1565059493077,2,0,128秒是认真的吗？
18,1503373948,7,夏至未至56805,0,1565055107785,10,0,   有没有人一点也不喜欢王韫秀的？
18,578210229,6,倩倩寻文同学de,0,1565010154748,8,0,佳音哥这部戏蛮费体力的。
18,1407991661,9,赵勇宁,1,1565008180670,6,0,广告真受不了。嗨！！！没会员。[惊哭][惊哭][惊哭]
18,1381846264,22,weiwei841212,3,1564988815268,0,0,少安他二爸
18,1651530065,7,de越发闷热w令狐冲,1,1564986876700,2,0,小狐狸居然会归息功
18,1340592284,32,吹泡泡猪猪,0,1564983394912,0,0,油锤
18,1651530065,7,de越发闷热w令狐冲,1,1564978850215,3,0,好看是好看，就是养得不够胖
18,1161432208,100,czz888236986084,0,1564934470843,1,0,才600多评？大家都认真看剧没空说话吗？
18,488677487,19,狮子座HDD,0,1564930940824,0,2,演员的嘴脸太刻意了，看了反而不舒服
18,1683351908,10,亲范伦汀娜蜜尔娜de,0,1564930405338,2,0,这一集我感觉接不上前一集啊，为什么
18,1143021623,44,赞_甲天下,6,1564927568124,5,0,热依扎真像张柏芝啊！
18,768866797,40,轻轻的风crp,3,1564924764782,0,1,这艾如演的不怎么样
18,369397527,18,此生_只盼,2,1564907250786,1,0,他两怎么突然这么好了？？？上几集还打了唐琪、
18,721187297,33,辜乐音乐,6,1564899839939,1,0,怎么突然下雪了？天气一直那么好。
18,1736630978,5,北野哥哥呐,0,1564889163371,3,0,那些人说这个剧不好的人，那你想一想，你能做到吗？你能把这个剧拍的这么好吗？你能演技这么好吗？你能拍打斗戏拍的这么好吗？
18,1479686688,20,养同学的拉塞尔,2,1564884092940,4,0,装傻这么多年也不容易
18,1144286237,30,一目夜,1,1564842903361,0,0,檀棋爱上张小敬了吗?
18,1451891631,22,喜悦悦Aimme,0,1564840688067,2,0,为什么这部剧里我就只记得大头和李必，其他人看见名字还要脑补一下，才能想起他是谁
18,1414893773,9,别眨眼哦,0,1564825911476,4,0,长安十二时辰好看的！！
18,1416422375,15,行星佘de亲,0,1564813985325,3,0,原来，日本女人的装束还保持着唐代的样子。
18,1745770566,1,米兰达非常滴x勤劳桑,0,1564808862418,0,0,qxhs
18,1163649332,50,Y气度不凡的布伦达,0,1564799890771,4,0,这一天是不是有点长啊……
18,445736887,12,3807338,0,1564794845565,3,0,色彩饱满，人物性格饱满，每集都像在看电影的感觉
18,548329451,11,353668792,3,1564768251553,1,0,所以为什么何孚会以为李必死了？这药不是只让人手脚腿软吗？
18,1043081823,26,念华如初,4,1564752786653,3,0,冬天的五六点天都黑了
18,1467534002,12,匆匆而过的你,0,1564723217170,1,0,这部剧太让人上头了
18,1456478151,33,简陋de初夏_,0,1564720082884,0,0,好剧[大拇指][大拇指]
18,578148538,79,小咸菜籽,6,1564713396550,0,0,会员[惊讶]
18,803745377,17,诚37323719,1,1564706245389,3,2,我感觉十二时辰比一年都长
18,1748842711,28,l悠闲滴0鸣人格外,1,1564669288697,2,0,第一次现实过得比电影慢
18,385432608,43,鹿可尔,6,1564663163344,0,0,檀棋说的孟浪什么意思
18,1244293145,36,IVY悠然自得I,5,1564656915802,12,0,不喜欢闻染
18,346631512,11,Diying_,0,1564652993867,1,0,芦芳生发福了
18,1122605639,9,艾卉9934666,1,1564649051039,1,0,每一个角色都有他鲜明的个性，有血有肉
18,1049538379,45,xiaohuhaoq,4,1564619456465,1,0,何孚给李必的药丸有问题吗？
18,367055256,67,易图易图,7,1564593632394,0,0,[不高兴]
18,421978565,24,净土安度,3,1564590293106,8,0,雷佳音的演技真不是盖的 棒
18,709437898,14,yvelene,4,1564587499352,4,0,凡是好看的电视剧，配角一定也能被看见。以前TVB就是这样的。
18,702357772,7,HESHUIYU,6,1564585715757,1,0,好看
18,859890553,29,qq1399674472,0,1564582757113,2,0,好好的莲花发冠怎么给扎成这样了呢？
18,1318875400,7,Clarence46134,0,1564561742695,16,0,我觉得周一围演什么都是一个样
18,1644600128,13,同志罗伯逊闪电侠de,2,1564557202193,0,0,哈哈
18,754561588,19,绿柳扶风49589678,0,1564554553695,7,0,元载不是一般的贱啊！
18,1533294164,4,vivalavida35313,0,1564554185605,2,0,嘴上有伤//想请教一个问题:为啥崔器说话永远给我一种口齿不清、舌头捋不直的感觉呢？是我的幻觉还是确实如此呀😂
18,1533294164,4,vivalavida35313,0,1564554172723,23,0,//想请教一个问题:为啥崔器说话永远给我一种口齿不清、舌头捋不直的感觉呢？是我的幻觉还是确实如此呀😂
18,419573689,55,璜芼吖頭ORZ,6,1564554121922,0,0,很好
18,1139780940,27,叶落紫夜,5,1564544716098,0,0,更新……
18,1213706941,8,德国雅拉,1,1564540177826,2,0,张小敬演的太好了
18,837665411,29,总是深情留不住人,4,1564518073359,11,0,想请教一个问题:为啥崔器说话永远给我一种口齿不清、舌头捋不直的感觉呢？是我的幻觉还是确实如此呀😂
18,1142706649,17,阳光下的肥猫猫,0,1564497406955,4,0,剪的太狠了……有点接不上啊
18,1739259380,2,冉de曼香同志,1,1564497243649,3,0,这将军怎么虎父有犬女？女儿象个疯子
18,1589762638,13,de猪哥哥拉格伦桑,2,1564497155395,1,0,张小敬，我爱你。
18,600734218,39,优酷评论,0,1564490400125,2609,28,"重要通知：《长安十二时辰》为你加更！
8月5日20点会员一次更新5集，8月12日中午12点更新大结局。此处划重点，7月30日-8月4日扫码“贡献仙灯”就有机会进影院抢先看结局并留名“长安”字幕~一起冲榜去看大结局，加油鸭！"
18,1312406618,19,龚w科菲,2,1564485544286,1,0,发簪为什么是这样的啊？
18,1044209064,42,yoursurchin,6,1564481960823,46,1,感觉从15集开始这电视剧的节奏就不对了。就跟饭店换厨师了一样，味道真的不对劲了。
18,1044209064,42,yoursurchin,6,1564477147006,0,0,烂尾呀
18,1061503791,100,小麻瓜小麻花,6,1564474898341,7,1,有没有最后一集看完的啊？这个程参最后吃上饭了还是饿死了？
18,727068125,40,E丶Zz,6,1564474829866,1,0,这12个时辰演的有点久
18,1250042214,16,郭辛宇93569,3,1564472056041,2,0,这傻子不傻啊
18,1740953807,18,de海王U相当文明,0,1564471540308,3,0,上面的维上，下面争功
18,1529916982,31,WXF雪悟,6,1564467162896,0,0,[呵呵][呵呵]
18,1598085709,13,的克里曼斯痴珊君,0,1564463917179,3,0,原来弹棋是右相的人
18,1505529734,15,田周小娟,0,1564459684522,1,0,长安是什么
18,1583630684,7,温和de莫里森君,0,1564410970786,1,0,如果把龙波换成文章就好了
18,1649815175,11,雷德梅尼同学de比扎罗,2,1564405983930,0,0,感觉就是女主都不漂亮😍😂😂😂
18,1331519134,11,树上的锦鲤,0,1564401140574,0,0,不轻易追剧，都想为它开会员了
18,1739201503,7,睡不醒的某某洋_,2,1564399365466,1,0,檀棋好美
18,1726698465,8,伊莎贝尔的同志伊娃,2,1564383382979,4,0,雷老板厉害了，看了他在“我的前半生里”的样子，从未想过，古局也演的这么好，喜欢[花心]
18,1227831217,21,神仙难救23558,0,1564377275279,31,0,雷佳音正经学院毕业，话剧演了知道多少了，功底绝对没问题，你让孙过来？脑子还在？
18,1243231198,45,豪斯同学AoA,6,1564376290257,0,0,好好
18,1238444775,2,de绝地武士细心桑,0,1564372426749,1,0,喜欢千玺  
18,1326734232,46,豪华版hvhvy,6,1564371926434,1,0,还是缩减了，一个时辰两个小时一集内容才三十几分钟。//这十二个时辰感觉好像有几个月时间，但是电视剧这十二个时辰一个人能做了太多的事了，太厉害了！！
18,985447567,35,lspear36659,2,1564357905754,2,0,蒙着面真像张柏芝
18,1042087918,15,君善解人意太i托尔de,0,1564327199823,4,0,又到追剧时间
18,1713950490,9,2008心灵的百合,2,1564318127082,2,1,大Bass到底是谁呀
18,1570199520,31,a困苦de元春,0,1564310200492,5,0,这十二个时辰感觉好像有几个月时间，但是电视剧这十二个时辰一个人能做了太多的事了，太厉害了！！
18,505442073,8,lizhenyu1978,0,1564307336282,5,0,少年郎的李必，千玺宝宝演的很好呀
18,1747304475,3,枫红秋已浓,0,1564299052675,0,0,剧情不错
18,800837400,37,yezidewudong,0,1564291953130,5,0,"这部剧如论长相，个个惨不忍睹！若论演技，帅酷无比，尤其欣赏雷佳音！
"
18,1075032717,36,靖198432,5,1564284603034,0,0,为什么，让李必吃药，进门，是不是，毒药
18,349800441,23,TheTruthThatYouleave05800229,2,1564282128376,0,0, #如果你是檀棋，选竹马还是天降# 
18,1739376895,5,de最协调豆豆桑,0,1564280237082,0,0,挺好看
18,1355231201,9,H民8603488517,2,1564272369622,2,0,一部电影的事掰碎成一部电视剧！
18,1370846222,4,t_1503193457599_0441,0,1564241945213,0,0,这傻子一点不傻呀，哈哈
18,1739404054,4,w茂密deT香瓜灰常,0,1564235908097,3,1,这张小敬的刀就真的是个装饰品吗？看了这么多集了，就没见拔出来过
18,1017017596,15,寒玉冰溪,0,1564233965477,5,0,催真是成事不足，败事有余，完完全全的猪队友一个！
18,1054701345,6,seraphic201479704933033321,2,1564232433348,1,0,为什么看会跳剧情？
18,842721824,32,紫非鱼0131,4,1564229887106,7,0,崔器就是个傻逼
18,1194033199,7,莱戈拉斯戚de君,3,1564228662723,3,0,一天时间承载这么多剧情看着有儿累
18,1247780995,9,OoO波特M,0,1564225676245,3,0,三女就是 汝！ 姚卫率
18,1362445127,7,疲倦的艾琳诺,0,1564223596704,5,0,广告真烦，没退出一次又有两分钟广告
18,1061309376,8,de寻梦T妥善格外,0,1564221078457,0,0,喜欢控细节，这部剧不错，回味有甘
18,817282448,16,yepyvonne,2,1564212785741,2,0,长安整个剧组做了一件大事
18,1592688376,7,mr易先生14554,0,1564211042829,1,0,刚开始看不懂，连着看几集，感觉超级好看
18,1729482300,8,不良梅莉特滴o,2,1564210562473,0,0,看到敲鼓那段，想哭
18,1745828614,4,邪恶潘妮十分de0,0,1564207354136,5,0,徐宾：“他（张小敬）活得最认真，可他过得惨透了。”
18,350396650,67,独孤遥Lilin,6,1564206914050,0,0,[鼓掌]
18,1369022350,13,萌萌的小女子22438,0,1564206532577,3,0,感觉李必太憋屈了[泪][泪][泪]
18,853817211,9,呆瓜54429,2,1564204323702,3,0,会员仍然有广告
18,1721303750,8,沙湾1,0,1564195877289,1,0,果然唐装再日本啊
18,1703664871,16,米多吃不了,2,1564149177382,1,0,片子用心了，一定要支持，真的是良心好片，非常精彩，感谢剧组所有工作人员和演员们，你们真棒！
18,355005867,100,悠悠鑫爷,6,1564148742118,1,0,背景是后期做的
18,1699547472,11,亲哈里森牙牙de,0,1564143648710,3,0,活在别人嘴里的圣人
18,1189419760,2,苍井琛,0,1564143189999,7,0,真讨厌王韫秀，真不知道干嘛的
18,435867007,14,ykapp_1n4qsc95,4,1564137484940,1,0,停车后是不是得嘀一下[鄙视][鄙视]
18,1444017321,18,的迈克尔孙自觉君,0,1564134180421,0,0,三刷了咳咳
18,1180284795,20,蟹子守你们十年,0,1564130124727,3,0,每个集数可不可以给个简介！！！
18,754561588,19,绿柳扶风49589678,0,1564126186472,5,0,元载你个大贱人！
18,1173876415,4,hohokpang,0,1564100959511,3,0,人物特点明显！好剧！
18,1084314134,41,xumo78964743,5,1564084310656,7,0,何监和这个傻儿子有问题
18,1084314134,41,xumo78964743,5,1564084011311,6,0,这部剧拍的真的太用心了，有点不敢相信！
18,417207577,4,27429tophy,0,1564069487553,6,0,19级曹破延吃朱古力豆的时候 我不争气的咽了口水 
18,1166757747,53,十年九夏呀,5,1564069029468,1,0,三女可以不死么？
18,1334723377,38,乖拐柺怪,0,1564068844689,3,0,徐斌上面有人指使，或者和龙波就是一伙人，地道把张小敬困住，一味地只是拖延他的时间，之前是他找出传令的暗装，暗装明明回去可以说知道的人已经被灭口，却说消息泄露不能回去，可能是龙波故意放消息给他，但是要拖延时间，徐斌确实有鬼。
18,1599112980,15,爱吃西瓜和苹果的柚子,0,1564062671265,7,0,檀棋真好看
18,762321209,50,随风恋沙,6,1564061526002,5,0,其实这里可以看出来 姚汝能怎么知道李花玉佩玉质纹理都对的 只能是他以前见过
18,832015292,47,优者如酷,0,1564060505600,0,0,他们不刷牙、上厕所、吃饭吗？
18,832015292,47,优者如酷,0,1564060397604,0,0,真是太好看了！
18,1384765450,17,羿同学的冈瑟,0,1564056852509,4,0,难道一见的好剧
18,1491968463,32,且行且珍惜53308,4,1564056669886,0,0,人性
18,1318535683,4,wangxingchun1981,1,1564043325424,0,0,十八集看不到呢
18,587920630,44,burninghotdog,6,1564042987178,1,0,能不能更新快点  一周10集  这个月底都更完
18,1032975480,40,帅4801634456,5,1564032281153,0,0,第17集看不成，怎么回事？
18,1036460408,28,寻淘定,5,1564027078503,0,0,语文老师说你了，站出来
18,1360506377,3,衷心的雨伞,5,1564015203294,0,0,等了两天了
18,425004818,26,旭日东升很酷,2,1564007139832,2,0,😃
18,799988751,27,隐形小马甲666,6,1564001063910,0,0,需要认真看
18,1518908076,14,H过于勇敢小宝贝de,0,1563985361654,2,0,大爱易烊千玺[呵呵][呵呵]
18,770265424,19,ykapp_de7ca7ux,0,1563977929878,1,0,更新太慢，剧情都忘了，还得看前一集
18,382417625,14,止戈止戈,1,1563975534437,4,0,"姚卫率就是三女！
理由，檀棋带姚去右骁卫救张小敬的时候，檀棋拿出一块林九郎的玉佩。姚卫率一看，就看出是仿制品，而且细节说得特别清楚。
说明姚卫率早就见过，并且非常熟悉正品。
其次，姚对“影女”一案很感兴趣，却又强压好奇心。"
18,1251638564,21,胖姑娘1ee,5,1563967940901,2,0,可以
18,1380405839,5,飞得更高高高高高高,5,1563966883086,3,0,为什么会下雪
18,901694785,30,文超90158,6,1563952116212,0,0,说话声音这么小，都说不出来吗。不注意听。都听不出来
18,962440154,6,全世界退步,0,1563947887363,10,0,今天，程参吃饭了吗？
18,1184945296,20,易烊千玺的葡萄精,3,1563947360181,0,0,易烊千玺
18,1368739058,39,正经de基努55827,0,1563936634654,0,0,精彩纷呈
18,715263315,14,浅夏61,1,1563928777661,0,0,严羽幻还不出来
18,715263315,14,浅夏61,1,1563928730158,0,0,许幻羽还不出来
18,1306602451,31,柏0贝洛克,0,1563904685597,0,0,那是回忆//为什么会下雪，解释下
18,1306602451,31,柏0贝洛克,0,1563904675140,0,0,//为什么会下雪，解释下
18,1686158009,13,君华莱土周芷若滴,2,1563903315587,0,0,为什么会下雪，解释下
18,341952540,47,春城小鑫,0,1563899531063,0,0,女演员选的不够漂亮
18,1732483158,9,多洛雷斯de酱科拉,0,1563892496972,1,0,这傻子一点不傻
18,1405470359,58,饼小酱酱,0,1563883297181,0,0,[呵呵]
18,536272422,36,昵称想半天1,5,1563879889203,0,0,本人感觉做好的就是坐牢的书生和红衣男子！！
18,1404860306,9,万同学的渥兹华斯,0,1563871956008,0,0,姚汝能演的很好
18,1246911367,9,魏飞54094,1,1563861755256,2,0,进来看看神评
18,1696634986,5,桑艾比盖萨克巨人的,2,1563860460897,16,0,第十八集了，程参还饿着呢，饿啊！！！
18,903873987,34,小混蛋闯江湖aa,0,1563854446678,2,0,感觉太子是坏人，他想杀皇帝
18,1737656790,4,祝滴克拉丽莎同学,0,1563852576937,1,0,好乱的剧情关系啊
18,1737985886,5,滴略微敏捷伯蒂酱,0,1563848323996,3,0,秀才最可怜
18,1159817025,35,你个六儿,5,1563844499550,2,0,打不死的小强啊。。。。。
18,1070071673,13,天卉工坊,1,1563810997902,2,0,我咋觉得姚汝能这么萌呢，特别可爱。
